﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7GUkIRdG5JL6LAW2kqZzDq","Hypnotize U","N.E.R.D.","Nothing (Explicit Version)","1","2","256986","","2012-02-03T23:22:29Z"
"spotify:track:5SQkRK9GJR5XILocVeeNCp","Prisoner's Song - Extended Original Mix","Nova Nova","Hotel Costes 14 by Stephane Pompougnac","1","7","338066","","2012-02-03T23:22:37Z"
"spotify:track:20qWgXY0EZIm0hSzuU91Hk","Crave You","Flight Facilities","Hotel Costes 14 by Stephane Pompougnac","1","15","324000","","2012-02-03T23:24:57Z"
"spotify:local:Skateb%C3%A5rd:Midnight+magic:Data+Italia:283","Data Italia","Skatebård","Midnight magic","0","0","283000","","2012-02-03T23:22:34Z"
"spotify:track:02vinpPk2YR6xB7TRgU9aC","Eli Eli - 2000 Digital Remaster","The Gladiators","Trenchtown Mix Up","1","6","185600","","2012-02-03T23:25:05Z"
"spotify:track:7zra1Zr6RXz3WJhET4FTJU","Charlotte","Reboot","Karotte's Kitchen 2.0","1","5","575080","","2012-02-07T15:47:55Z"
"spotify:track:0UIqnAvch5mDPE0UVq0ypI","Fall In The","Özgür Can","From Here To There, Vol. 1","1","6","441025","","2012-02-08T18:01:57Z"
"spotify:track:03NIKrksYgEUbXUyYzUrOR","Everything Goes My Way","Metronomy","The English Riviera","1","3","210080","","2012-02-25T15:15:07Z"
"spotify:track:7JNjoNXuoRtqy4R7REGzk7","Some Written","Metronomy","The English Riviera","1","10","363333","","2012-02-25T15:46:34Z"
"spotify:track:4uig6LC1jC1JjFtNDO4qKl","Love Underlined","Metronomy","The English Riviera","1","11","357973","","2012-02-25T15:52:45Z"
"spotify:local:Midnight+Magic:Nova+Tunes+2.5:Beam+Me+Up:312","Beam Me Up","Midnight Magic","Nova Tunes 2.5","0","0","312000","","2012-03-16T13:36:42Z"
"spotify:track:5zt3vGYK1f6GW3GPnHCFEJ","Blow","Dirt Crew","Colours of Deep House, Vol. 03","1","8","390418","","2012-04-16T12:43:28Z"
"spotify:track:5iYVJQH4jau2iLpkP45TZu","Fall Off The Wall - Da Sunlounge Remix","James Curd","Fall Off The Wall","1","6","390000","","2012-04-16T13:16:14Z"
"spotify:track:4Yrariz3ob3cil3A0941Rl","Side 2 Side - James Curd Original","James Curd","Side 2 Side","1","6","437386","","2012-04-16T13:19:18Z"
"spotify:track:7pYwKa1p0v7FSi76EvL6wh","Don't Really Care- feat. Devin Byrnes","James Curd","Input? Output? I Don't Know Yet","1","3","376906","","2012-04-18T13:36:52Z"
"spotify:track:572rF8ZJ35piJzgv23T6Oj","Express","Black Van","Moments of Excellence (feat. Holy Ghost!)","1","3","443077","","2012-04-29T18:27:01Z"
"spotify:track:7i5LIw3UC2WgqIp798GGx6","Starlighter","Jupiter","Valerie and Friends","1","3","195280","","2012-05-11T10:01:30Z"
"spotify:track:7q7Y7nDdUTG9zBRhpuG2Iw","Deltitnu","Aydio","Nonentity","1","4","273252","","2012-06-17T17:59:59Z"
"spotify:track:50rohPIoTFajGexMtUxsQV","The Yes Strut","Teams vs. Star Slinger","Teams vs. Star Slinger","1","6","171932","","2012-08-14T12:00:17Z"
"spotify:track:6LR8aF4sBKLurQ27wAtbiU","I Want The World To Stop","Belle & Sebastian","Write About Love","1","4","273640","","2012-08-20T21:19:35Z"
"spotify:track:6CtPPe4KnbaG2S7WKJmjTi","Morning Come - Original","Suzanne Kraft","Green Flash EP","1","1","480535","","2012-09-19T14:43:49Z"
"spotify:track:4kDWuReTzks5MQ1F5Uk3Lx","Fall Off The Wall - 1200 Warriors Remix","James Curd","Fall Off The Wall","1","1","443090","","2012-10-24T20:12:57Z"
"spotify:track:0np3h8eibo1MEU7d7hPeEV","Crash - Original Mix","Fritz & Lang","Crash EP","1","1","333913","","2012-10-24T21:14:52Z"
"spotify:track:6hDjYcGWihB1FxwzXgeCWr","Still Life","The Horrors","Skying","1","6","321133","","2012-10-31T16:43:57Z"
"spotify:track:0UdTjf1Bhw6zJOG86GrbiJ","Fly","Ludovico Einaudi","Divenire","1","9","280920","spotify:user:flngr","2013-01-07T11:08:08Z"
"spotify:track:2jlH1nGt5bwOu8m5ArrHne","Pioneer_IOO","Alva Noto + Ryuichi Sakamoto","Balance 020 (Mixed By Deetron)","1","27","344813","spotify:user:flngr","2013-01-18T13:46:38Z"
"spotify:track:06q7IomdHptPB4fuf4FM3S","Ash Sync (Air, Alex Gopher & Etienne de Crécy Version)","Étienne de Crécy","Essentials (Best Of)","1","16","299986","spotify:user:flngr","2013-01-18T14:22:53Z"
"spotify:track:1MFUa2uzHNvoM5xfJyG8FW","Hey Blop - Original Mix","Gabriel Ananda","Live Series Vol.2","1","1","560625","spotify:user:flngr","2013-01-31T16:08:33Z"
"spotify:track:3aGy3SfQuWtOvzhogvCEZO","Nine","Autchere","Balance 020 (Mixed By Deetron)","1","3","220200","spotify:user:flngr","2013-02-02T14:17:50Z"
"spotify:track:5smEMW6toKMLowEDlc5bi2","Truetone","Peter Horrevorts & Dosem","Gem Summer Sampler 1.0","1","2","426504","spotify:user:flngr","2013-02-04T13:24:23Z"
