﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:51hnWW9V7Ji0uZjoeBUfxo","I Need You Tonight","Punkin Machine","H-Track Edit Series 1 - EP","1","2","429897","spotify:user:flngr","2015-05-26T15:30:31Z"
"spotify:track:7sm3orGGwNFqmWFSPRl8eT","Give It Up","KC & The Sunshine Band","The Best Of KC And The Sunshine Band","1","11","245800","spotify:user:flngr","2015-05-26T15:29:47Z"
"spotify:track:0VCsM0YLSNNnLFF6lIH628","Show Me Love","Alex Newell, Matvey Emerson","Show Me Love","1","1","342975","spotify:user:flngr","2015-05-26T15:30:17Z"
"spotify:local:Exploitedrec::James+Curd+-+Everybody+Knows+Feat.+Jonty+Hall+%7C+Exploited:321","James Curd - Everybody Knows Feat. Jonty Hall | Exploited","Exploitedrec","","0","0","321000","spotify:user:flngr","2015-05-26T15:31:57Z"
"spotify:track:5H43dazn2x2O9dkDVvaiDS","Black (feat. Norah Jones)","Danger Mouse, Daniele Luppi, Norah Jones","Rome","1","10","211506","spotify:user:flngr","2015-05-26T15:30:01Z"
"spotify:local:StGermainOfficial::St+Germain+-+Real+Blues:235","St Germain - Real Blues","StGermainOfficial","","0","0","235000","spotify:user:flngr","2015-05-26T15:30:15Z"
"spotify:track:38LpbjQx5XAA95pb7AGRnE","Montego Bay Spleen","St Germain","Tourist [Remastered] (Remastered Version)","1","2","385677","spotify:user:flngr","2015-05-26T15:30:08Z"
"spotify:track:39qYD4J4BKvZMQgxfXl5bv","Eye in the Sky","The Alan Parsons Project","Eye In The Sky","1","2","276280","spotify:user:flngr","2015-05-26T15:29:32Z"
"spotify:track:5yoOsu09qo5tGL6YQoo5c7","Look At Where We Are","Hot Chip","In Our Heads","1","4","239426","spotify:user:flngr","2015-05-26T15:29:38Z"
"spotify:track:6kPxQvI3ceJffWB8gbpEsn","After Life After Party (Suicideyear Remix)","Jacques Greene","After Life After Party","1","3","246818","spotify:user:flngr","2015-05-26T15:31:37Z"
"spotify:track:6RbgIqRnzanF0ZzTCj9snM","Your Light","Fort Romeau","Stay / True EP","1","2","297169","spotify:user:flngr","2015-05-26T15:34:13Z"
