﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4yIrXDI98wkIDDqadpwijv","Buffy","Grems, Bang On!, 123Mrk","Buffy","1","3","188184","spotify:user:flngr","2014-10-28T13:06:29Z"
"spotify:track:7tyuuaKzH1TnZgpOG1l3kn","Non-Stoppin' The Groove","The B.U.M.S","Lyfe 'N' Tyme","1","2","242800","spotify:user:flngr","2013-01-23T09:17:18Z"
"spotify:track:4bvZ4Esrc00U6OfdBpQE9F","Devotion","Charizma & Peanut Butter Wolf","Big Shots","1","8","239346","spotify:user:flngr","2013-01-23T09:21:11Z"
"spotify:track:33aAAKHEwoM39KUUeOUOq7","Sure Shot","The Slum Brothers","Jus Regular Niggers - The Diaries Of A Porch Monkey","1","1","213498","spotify:user:flngr","2013-01-23T09:36:24Z"
"spotify:track:3RK2gajwX0NzUF4yn1Yups","What's the Reaction? - Remix","Kwest Tha Madd Lad","These Are My Unreleased Recordings","1","3","211640","spotify:user:flngr","2013-01-23T09:39:04Z"
"spotify:local:Mass+Influence:The+Underground+Science:Life+To+The+MC:279","Life To The MC","Mass Influence","The Underground Science","0","0","279000","spotify:user:flngr","2013-01-23T09:39:21Z"
"spotify:local:Da+Grassroots::Precious+Metals:223","Precious Metals","Da Grassroots","","0","0","223000","spotify:user:flngr","2013-01-23T09:46:52Z"
"spotify:local:East+Flatbush+Project::Can%27t+hold+it+back:307","Can't hold it back","East Flatbush Project","","0","0","307000","spotify:user:flngr","2013-01-23T09:47:07Z"
"spotify:local:Encore::Think+Twice:295","Think Twice","Encore","","0","0","295000","spotify:user:flngr","2013-01-23T09:47:29Z"
"spotify:local:Lewis+Parker::Mysteries+of+life:355","Mysteries of life","Lewis Parker","","0","0","355000","spotify:user:flngr","2013-01-23T09:47:41Z"
"spotify:local:Mad+Kap::Questions:183","Questions","Mad Kap","","0","0","183000","spotify:user:flngr","2013-01-23T09:48:02Z"
"spotify:track:4tVRb2vUo2iNwxBY3k7wBp","Ice Cream Truck","Charizma & Peanut Butter Wolf","Big Shots","1","11","217453","spotify:user:flngr","2013-02-05T16:25:08Z"
"spotify:track:5T05SmbZQ43Br9Bxf8UVxB","Falling","Dudley Perkins","Stones Throw : 10 Years","1","13","242600","spotify:user:flngr","2013-02-06T13:25:55Z"
"spotify:track:2D8DLQ4yqUtatase3Phjc6","A.V.E.R.A.G.E.","Kazi","Stones Throw : 10 Years","1","14","177173","spotify:user:flngr","2013-02-06T13:28:27Z"
"spotify:track:4xZ3dEdxP6fIbVXIftUI9O","Come Here My Dear","Dudley Perkins","Expressions (2012 A.U.)","1","5","187040","spotify:user:flngr","2013-02-07T18:13:39Z"
"spotify:track:2yB4IrsJfX8HzRsT0oaMBp","That's The Way It's Gonna Be","Dudley Perkins","Expressions (2012 A.U.)","1","6","196613","spotify:user:flngr","2013-02-07T18:15:44Z"
"spotify:track:3uNt1Ct5V5d73Cwu4yQpcA","Whenimondamic","Lootpack","Soundpieces: Da Antidote","1","5","165693","spotify:user:flngr","2013-02-07T18:39:18Z"
"spotify:track:6wqzg4axkxnpdmVOG3FHfc","Figaro","Madvillain","Madvillainy","1","14","145706","spotify:user:flngr","2013-02-11T17:37:03Z"
"spotify:track:5RFjUItv9kPHwcGmHHKE9H","Wreck Your Ears (Can Do)","The B.U.M.S","Lyfe 'N' Tyme","1","4","251533","spotify:user:flngr","2013-02-12T14:57:48Z"
"spotify:track:1CuHWEYORQHDfAXzq0f3za","Lyfe 'N' Tyme","The B.U.M.S","Lyfe 'N' Tyme","1","16","286706","spotify:user:flngr","2013-02-12T15:31:10Z"
"spotify:track:64kaGFA6jQ48MnZTmr7f4V","Take A Look Around","The B.U.M.S","Lyfe 'N' Tyme","1","6","269173","spotify:user:flngr","2013-02-22T21:30:09Z"
"spotify:track:3ROj3NPfSgVl57xiN64L7Y","Third Ear (More)","Madlib","Beat Konducta Vol. 1-2: Movie Scenes","1","7","97560","spotify:user:flngr","2013-02-26T16:44:34Z"
"spotify:track:5KapB9KJnRsZrprzIAXycW","Uknowhowwedu","Bahamadia","Kollage","1","7","214866","spotify:user:flngr","2013-08-11T21:35:26Z"
"spotify:track:3RllcLAO0QGXvdrwt5BktK","Drop","The Pharcyde","Labcabincalifornia","1","9","335493","spotify:user:flngr","2013-08-11T21:36:40Z"
"spotify:track:55KAaCIlrIDJ1l2iOFvoS2","New Day - Album Version (Edited)","JAY Z, Kanye West","Watch The Throne (Edited Version)","1","6","272826","spotify:user:flngr","2014-01-02T22:18:13Z"
"spotify:track:2waHBAQR18A6XO6ylPvsQp","Chosen","Mr.Troy, Junclassic","Thinking out Loud","1","6","135349","spotify:user:flngr","2015-01-12T17:51:07Z"
"spotify:local:Phoniks+Feat.+Dephlow::Lost+Girls:265","Lost Girls","Phoniks Feat. Dephlow","","0","0","265000","spotify:user:flngr","2014-01-17T17:18:12Z"
