﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:local:::O%CC%88ster+-+Zilian+Wave:77","Öster - Zilian Wave","","","0","0","77000","spotify:user:flngr","2015-03-12T14:18:53Z"
"spotify:track:6agabhsMUJffS9tFIvlQ0j","Dreamsville","SoulChef","Long Hot Summer","1","7","238929","spotify:user:flngr","2015-01-23T22:51:28Z"
"spotify:track:0aejlQycrEh5YGd2LVHjJo","Brisk Yellow","Blazo","Colors of Jazz","1","10","117693","spotify:user:flngr","2015-01-23T22:51:41Z"
"spotify:track:5UoMpvksW0R3pOwPV8QEh0","Flying","Jazz Spastiks","The Product","1","9","201990","spotify:user:flngr","2015-01-23T22:53:53Z"
"spotify:local:::JIM+-+Welcome+to+Jazz+club:109","JIM - Welcome to Jazz club","","","0","0","109000","spotify:user:flngr","2015-03-12T14:20:01Z"
"spotify:track:56ejFYfCdSfbIEH5yEOOjZ","Cold Clam","letherette","Letherette","1","7","349266","spotify:user:flngr","2015-01-23T22:54:55Z"
"spotify:local:::Beat+Gates+-+Restaurant:186","Beat Gates - Restaurant","","","0","0","186000","spotify:user:flngr","2015-03-12T14:13:18Z"
"spotify:track:6cTJ9alBwBU4p5taMxQWwO","Next Time","Mr.Troy","Source","1","9","216135","spotify:user:flngr","2015-01-23T22:56:54Z"
"spotify:local:::Vanilla+-+Rashida:224","Vanilla - Rashida","","","0","0","224000","spotify:user:flngr","2015-03-12T14:14:33Z"
"spotify:local:::Suhov+-+Igene:210","Suhov - Igene","","","0","0","210000","spotify:user:flngr","2015-03-12T14:16:54Z"
"spotify:local:::Nujabes+-+Reflection+Eternal:257","Nujabes - Reflection Eternal","","","0","0","257000","spotify:user:flngr","2015-03-12T14:25:01Z"
"spotify:local:::Nym+-+Cansac%CC%A7o:178","Nym - Cansaço","","","0","0","178000","spotify:user:flngr","2015-03-27T07:47:46Z"
"spotify:track:4P9y5fPdXWl6czH9clrQZl","Ohne Erdung","Max Graef","Rivers Of The Red Planet","1","8","121328","spotify:user:flngr","2015-04-02T16:30:21Z"
"spotify:local:Kostas+Paraskevas::Imam+Baildi+-+O+Pasatempos:294","Imam Baildi - O Pasatempos","Kostas Paraskevas","","0","0","294000","spotify:user:flngr","2015-04-27T13:17:12Z"
"spotify:local:On+And+On::Elaquent+-+Butterflies+%28from+On+And+On+-+1%C3%981+compilation%29:224","Elaquent - Butterflies (from On And On - 1Ø1 compilation)","On And On","","0","0","224000","spotify:user:flngr","2015-04-27T13:29:25Z"
"spotify:track:6Sw5aOSeKrUBxenDEzuta7","What You Think About...","St Germain","Tourist [Remastered] (Remastered Version)","1","9","288309","spotify:user:flngr","2015-05-09T11:15:38Z"
"spotify:track:12jv1Q3jvdzDDyn8uHVvbb","Snow Problem","Potatohead People","Tomatos","1","2","152029","spotify:user:flngr","2015-06-01T09:07:33Z"
"spotify:track:1gkVziEAUzRL8KglfQZfGL","Love Is Real","Moods","Sincere","1","2","201672","spotify:user:flngr","2015-06-01T09:07:43Z"
"spotify:track:6iEuPl2CxF7SCxzi1VkWeY","Superheroes (Remix)","Afta-1","Undefined","1","4","186540","spotify:user:flngr","2015-06-01T09:38:48Z"
