﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6NgKHpQI1nQIYv1JShfG6i","What It Feels Like - Original Mix","Volta Cab","House Of Dikso","1","12","212245","spotify:user:flngr","2015-03-18T16:09:04Z"
"spotify:track:31PomybmS8UejJB7g1JzG3","Drones - Bit Funk Remix","Night Drive, Bit Funk","Drones","1","2","345444","spotify:user:flngr","2015-03-09T12:49:06Z"
"spotify:track:3XGC1ozGqsQGXYIkhBsrAY","Playground - Mario Basanov Vocal Remake","Motorcitysoul, Phil Fill","Poolside : Music, Vol. 2 (A Fine Selection of Deep & Tech House Grooves)","1","6","359385","spotify:user:flngr","2015-02-03T00:03:11Z"
"spotify:track:6UqRGwjwYL0stXbaodTxwo","Seve - Radio Edit","Tez Cadey","Seve (Radio Edit)","1","1","210853","spotify:user:flngr","2015-02-03T00:03:18Z"
"spotify:track:5aoehcT5DCd2PmrxV1JNP2","Haunted - Neus Remix","Equateur","Haunted","1","5","279176","spotify:user:flngr","2015-02-03T00:03:21Z"
"spotify:track:25xmy1NPaAtbiaJaqktVKs","You & Me - Flume Remix","Disclosure, Eliza Doolittle","You & Me (Flume Remix)","1","1","282812","spotify:user:flngr","2015-02-03T00:06:13Z"
"spotify:track:1wyc7VixAyWv5FrE7J30k9","Sea Of Light - Justin Faust Remix","Night Drive","Sea Of Light","1","3","285880","spotify:user:flngr","2015-02-03T00:06:59Z"
"spotify:track:5rP0ubsPRAZ3zsdZAKo19Q","Changing - Klingande Remix","Sigma, Paloma Faith","Changing (Remixes)","1","2","359531","spotify:user:flngr","2015-02-03T00:06:59Z"
"spotify:track:3HvCwE2cSjM5RlGYEV98y9","Eddie - Oliver Nelson Remix","Everywhere","Eddie","1","2","247200","spotify:user:flngr","2015-02-12T23:46:33Z"
"spotify:track:6ieYv6InSKUH29rytxaAZd","Loot - Instrumental","Mafikizolo","Gate Crashers","1","9","320533","spotify:user:flngr","2015-02-13T18:41:33Z"
"spotify:track:3yKGyhB7mghoHCmhJhNrwu","Latinica Witch - Vincenzo's Satin Soul Mix","Rivera Rotation","Latinica Witch","1","3","510749","spotify:user:flngr","2015-02-13T18:41:38Z"
"spotify:local:Lana+Del+Rey::Ultraviolence+%28Hotel+Garuda+Remix%29:231","Ultraviolence (Hotel Garuda Remix)","Lana Del Rey","","0","0","231000","spotify:user:flngr","2015-02-16T20:26:54Z"
"spotify:track:3977WHzJhTj7Qom4On8Do9","I Wish It Could Last - Original Mix","Sam La More","I Wish It Could Last","1","2","346963","spotify:user:flngr","2015-02-16T20:27:15Z"
"spotify:track:3CCl4Tp1v1verqqAwgBQGy","Off My Mind","Moon Boots","Future Disco, Vol. 5 - Downtown Express","1","1","273295","spotify:user:flngr","2015-03-10T14:49:46Z"
"spotify:track:3DYiGhUODWqUvfvQJVbDvU","Coult It Be Love - Remix","Loni Gamble","Classics Funky Music, Vol. 2","1","4","427173","spotify:user:flngr","2015-03-12T13:45:02Z"
"spotify:track:70z2AFHyP7LuoxtRGEutmd","Holiday Reverie","Hypnolove","Holiday Reverie - EP","1","1","289202","spotify:user:flngr","2015-03-18T16:05:00Z"
"spotify:track:22p4DbJga9RfHxVY4Q1vvN","Crushed Ice","MAM","Future Disco Presents: Poolside Sounds","1","8","280417","spotify:user:flngr","2015-03-31T08:04:31Z"
