﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0VxFKXvKLjYWU7oPPMwzuN","Somewhere Only We Know","Keane","Somewhere Only We Know (Enhanced)","1","1","236360","spotify:user:flngr","2013-05-27T15:32:39Z"
"spotify:track:4vWNhCGqrNVfZxunY47GDf","So American","Portugal. The Man","In The Mountain In The Cloud","1","1","215933","spotify:user:flngr","2013-04-15T18:32:29Z"
"spotify:track:4VbDJMkAX3dWNBdn3KH6Wx","Helena Beat","Foster The People","Torches","1","1","276173","spotify:user:flngr","2013-04-15T18:32:37Z"
"spotify:track:2yB4IrsJfX8HzRsT0oaMBp","That's The Way It's Gonna Be","Dudley Perkins","Expressions (2012 A.U.)","1","6","196613","spotify:user:flngr","2013-04-15T18:33:24Z"
"spotify:track:5BqVeufpk3KpM4JfpRbXlO","Never Gonna Give You Up","The Black Keys","Brothers","1","14","218946","spotify:user:flngr","2013-04-15T18:33:30Z"
"spotify:track:4JLq23VWJUG7XN4uINnozD","Get In Trouble - Crazy P Remix","Snax","Future Disco, Vol. 2","1","6","330146","spotify:user:flngr","2013-04-15T18:33:57Z"
"spotify:track:3j4f5c97RD6GxVeUySXyUd","Legalize It","Peter Tosh","Playlist: The Very Best Of Peter Tosh","1","1","279813","spotify:user:flngr","2013-04-15T18:34:46Z"
"spotify:track:1OrIF9k3A1wMADZnr4URUB","Boa Sorte","Vanessa Da Mata, Ben Harper","Hôtel Costes 11 by Stéphane Pompougnac","1","13","224440","spotify:user:flngr","2013-04-15T18:34:54Z"
"spotify:track:1pf6ogqYh6okTnYk9vV1P2","Helena Beat","Foster The People","Torches","1","1","276173","spotify:user:flngr","2013-04-15T18:35:31Z"
"spotify:track:7JNjoNXuoRtqy4R7REGzk7","Some Written","Metronomy","The English Riviera","1","10","363333","spotify:user:flngr","2013-04-15T18:35:44Z"
"spotify:track:2abyUcQoU01GapCDuJ8DAz","Pumped up Kicks - The Hood Internet Remix","Foster The People, Hollywood Holt","Remix EP","1","1","228093","spotify:user:flngr","2013-04-15T18:36:16Z"
"spotify:track:3Nbgpc2ooFHtkCT9ZLRFXg","Animal - Mark Ronson Remix","Miike Snow","Miike Snow","1","12","270360","spotify:user:flngr","2013-04-15T18:36:35Z"
"spotify:local:Erik+Rug+Feat.+Dynamax+%28Of+The+Zulu+Nation%29:Nova+Tunes+1.5:Tribute+%28Laroye+%26+Ky+Recreation+Remix%29:248","Tribute (Laroye & Ky Recreation Remix)","Erik Rug Feat. Dynamax (Of The Zulu Nation)","Nova Tunes 1.5","0","0","248000","spotify:user:flngr","2013-04-15T18:37:08Z"
"spotify:track:1tMHDdJEz8MFrkPFgwFACG","A.M. 180","Grandaddy","Under The Western Freeway","1","2","200666","spotify:user:flngr","2013-04-15T18:37:39Z"
"spotify:track:2Foc5Q5nqNiosCNqttzHof","Get Lucky - Radio Edit","Daft Punk, Pharrell Williams, Nile Rodgers","Get Lucky","1","1","248413","spotify:user:flngr","2013-04-19T08:35:28Z"
"spotify:track:3oq9uqpVPEi142XcuWSY05","Everlasting Light","The Black Keys","Brothers","1","1","204626","spotify:user:flngr","2013-04-27T21:47:16Z"
"spotify:track:1WTaguS8AN1v5PVHVDhWIl","She’s Long Gone","The Black Keys","Brothers","1","5","185973","spotify:user:flngr","2013-04-27T21:59:26Z"
"spotify:track:68cJlPh8bRhGdSgKBRR8W8","Help Me Through","David August","Times","1","1","259663","spotify:user:flngr","2013-04-29T12:22:54Z"
"spotify:track:5yPhSWvZ5KdHhz8R7z7oyI","Blossom","David August","Times","1","9","299525","spotify:user:flngr","2013-04-29T13:04:31Z"
"spotify:track:6Im3dfDKQ0r5LwxFu7t4po","Wires","Owiny Sigoma Band","Owiny Sigoma Band","1","3","273853","spotify:user:flngr","2013-04-29T20:58:56Z"
"spotify:track:4rZOCIhyxB6a4IkEdUYKoV","On My Mind","David August","You Got to Love Me","1","2","396968","spotify:user:flngr","2013-04-30T07:47:56Z"
"spotify:track:7cMFjxhbXBpOlais7KMF3j","Voyager","Daft Punk","Discovery","1","10","227866","spotify:user:flngr","2013-05-15T10:01:40Z"
"spotify:track:1l6J4ZdvfyCeMK8G78lRlE","Ciervos","Astro","Ciervos - Single","1","1","207779","spotify:user:flngr","2013-05-17T21:40:04Z"
"spotify:track:4B9fowxNCm4DhkONZvphow","Forgive Me If I Bleed","David August","Times","1","14","278155","spotify:user:flngr","2013-05-28T10:25:09Z"
"spotify:track:7mvKRWrEKZL3ZzB7n0eZdB","Roche","Sébastien Tellier","Sexuality","1","1","301466","spotify:user:flngr","2013-04-15T18:33:01Z"
"spotify:track:7ItYXgt6AgwQrRMoTodj0V","Life Is Better","Q-Tip, Norah Jones","The Renaissance","1","10","281040","spotify:user:flngr","2013-06-17T19:36:16Z"
"spotify:track:2BkdnK1Sl8pDlgeaHcXvzn","Sweet About Me","Gabriella Cilmi","Lessons To Be Learned","1","2","201177","spotify:user:flngr","2013-06-17T20:21:14Z"
"spotify:track:5n0EeYgzx8dNAlyQqlOUsT","This Letter","Stephanie McKay","Tell It Like It Is","1","4","228160","spotify:user:flngr","2013-06-17T20:23:01Z"
"spotify:track:7J0CZ6a1cnVujgiccdMGOw","Another One","Patrice","Free-Patri-Ation","1","2","199970","spotify:user:flngr","2013-06-17T20:46:05Z"
"spotify:track:1fmGZZPAEdmanrXZ5Liym0","Mustapha Dance","The Clash","Super Black Market Clash","1","21","266066","spotify:user:flngr","2013-06-17T21:25:40Z"
"spotify:track:5BXoDYim9Upsv8dsuSJQPa","London Calling","The Clash","London Calling","1","1","199733","spotify:user:flngr","2013-06-20T21:06:21Z"
"spotify:track:7CKZ4uFN5VvvZWIP6XAM5z","One Life Stand","Hot Chip","One Life Stand","1","1","321496","spotify:user:flngr","2013-06-23T21:35:39Z"
"spotify:track:36LpijZOR2wl2hGmVL1EN0","Pastime Paradise","Ray Barretto","La Cuna","1","5","514866","spotify:user:flngr","2013-06-24T21:47:46Z"
"spotify:track:1NnjFr5yixD4iquHLijAV7","Say Goodbye To Love","Kenna","Say Goodbye To Love","1","1","193706","spotify:user:flngr","2013-06-24T21:54:07Z"
"spotify:track:5Q4Dgn6sHsGkcSspTlLD9m","Lucky Man","Courtney John","Made In Jamaica","1","2","194293","spotify:user:flngr","2013-06-24T21:56:29Z"
"spotify:track:6cG3kCfXt4xUm1tTEio958","Most Wanted","Cults","Cults","1","4","183600","spotify:user:flngr","2013-06-24T22:24:35Z"
"spotify:track:1OrZ1qJ7ANMSdltqLn6jXc","Writer's Block","Just Jack","Overtones","1","1","222560","spotify:user:flngr","2013-06-26T20:58:31Z"
"spotify:track:0IFbyuvJUXroM8UkZ2Pnsk","Evil - Remastered","Earth, Wind & Fire","Head To The Sky","1","1","300813","spotify:user:flngr","2013-11-03T17:02:06Z"
"spotify:track:07wjYD7cv9wqgKoBadNyFS","Holiday Reverie","Hypnolove","Ghost Carnival","1","2","255666","spotify:user:flngr","2014-01-16T17:29:25Z"
"spotify:track:4bKwfhLfLJcxIMWSBkWfgs","Need Your Lovin - Original Version","Tensnake","Need Your Lovin (Tiger & Woods Remix)","1","2","378654","spotify:user:flngr","2014-01-24T15:17:20Z"
"spotify:track:0DRYSzaLvdoArDvJTkCl0B","Show Me","Touch Sensitive","Pizza Guy / Show Me","1","3","332772","spotify:user:flngr","2014-01-24T17:56:10Z"
"spotify:track:2LbuHO4j0RQrkBOMXsdSgV","Bullets","Tunng","Good Arrows","1","4","358546","spotify:user:flngr","2014-11-30T20:35:30Z"
"spotify:track:0W6XdEkOmFFwEbiPOkkr71","Ninsuo feat. Kwesi Dankwa","Richy Pitch","Ye Fre Mi Richy Pitch","1","10","270546","spotify:user:flngr","2015-01-14T14:59:46Z"
"spotify:track:5GKVcvTgnFYtfh25qKQtRg","One Way Trigger","The Strokes","Comedown Machine","1","3","242293","spotify:user:flngr","2015-01-02T20:41:14Z"
"spotify:track:1KqlVt63Q4bl1VdSlymr5C","Riptide","Vance Joy","Riptide","1","1","204280","spotify:user:flngr","2015-01-12T22:14:01Z"
"spotify:track:2ocfI4Juz5nXelHNUZAHmD","You Should Know (feat. Ruckazoid)","Breakbot","By Your Side","1","6","242186","spotify:user:flngr","2015-01-12T22:14:01Z"
"spotify:track:6cTJ9alBwBU4p5taMxQWwO","Next Time","Mr.Troy","Source","1","9","216135","spotify:user:flngr","2015-01-12T22:14:01Z"
"spotify:local:::Mr.Troy+-+Blue:173","Mr.Troy - Blue","","","0","0","173000","spotify:user:flngr","2015-01-12T22:14:01Z"
"spotify:track:6JKCf888TABRW23TLoZrZi","Knight Moves","Chilly Gonzales, Various Artists","Ku De Ta Vol. 1. Best of (By Jim Breese & Btk)","1","15","310752","spotify:user:flngr","2015-01-14T14:59:46Z"
"spotify:local:Kartell::B.B+%26+Q.+Band+-+Dreamer+%28Kartell+Rework%29+-+Free+DL:229","B.B & Q. Band - Dreamer (Kartell Rework) - Free DL","Kartell","","0","0","229000","spotify:user:flngr","2015-02-02T16:18:13Z"
"spotify:track:7M5BJSuoZal1lSC1HuTLfs","Every Little Thing - feat. Irfane and Teki Latex","Para One","Passion","1","3","249091","spotify:user:flngr","2015-01-30T15:09:31Z"
"spotify:track:7hrDA2n8BVGLyHra0rBiFd","Younger - Kygo Remix","Seinabo Sey","Younger (The Remixes)","1","1","351573","spotify:user:flngr","2015-02-02T16:18:13Z"
"spotify:track:2UwLaVba6HCH3hZa97goKg","Donga","The Marv","A King of Tunes (Ragadevan)","1","3","277687","spotify:user:flngr","2015-01-30T15:01:28Z"
"spotify:track:4K1gaUG8NTnIqWrsLfXf1B","La lune rousse","Fakear, Deva Premal","Sauvage","1","1","225256","spotify:user:flngr","2015-02-02T16:18:13Z"
"spotify:track:5aoehcT5DCd2PmrxV1JNP2","Haunted - Neus Remix","Equateur","Haunted","1","5","279176","spotify:user:flngr","2015-02-02T16:27:09Z"
"spotify:track:6stzGXs69f3Fi3DSZT3iBx","Frequency","Jazz Spastiks, Moka Only","The Product","1","12","174962","spotify:user:flngr","2015-02-02T16:18:13Z"
"spotify:local:Kartell::Bernard+Wright+-+Just+Chillin%27+Out+%28Kartell+Edit%29:250","Bernard Wright - Just Chillin' Out (Kartell Edit)","Kartell","","0","0","250000","spotify:user:flngr","2015-02-02T16:18:13Z"
"spotify:track:6aBUnkXuCEQQHAlTokv9or","This Must Be The Place (Naive Melody) - 2005 Remastered Version","Talking Heads","Speaking In Tongues (Deluxe Version)","1","9","296146","spotify:user:flngr","2015-02-03T00:02:26Z"
"spotify:track:3XGC1ozGqsQGXYIkhBsrAY","Playground - Mario Basanov Vocal Remake","Motorcitysoul, Phil Fill","Poolside : Music, Vol. 2 (A Fine Selection of Deep & Tech House Grooves)","1","6","359385","spotify:user:flngr","2015-02-03T00:02:39Z"
"spotify:track:082jAB8ValDguMSLaT7CZZ","Pass The Dutchie","Musical Youth","Dancehall 101 - Vol. 3","1","1","199973","spotify:user:flngr","2015-02-05T19:50:06Z"
"spotify:track:6YvP6BkFG912BHoq7ZNrLD","Bam Bam","Sister Nancy","Total Reggae: Summer Hits","1","3","190266","spotify:user:flngr","2015-02-05T19:50:11Z"
"spotify:track:5VIdfsQjWYYFoo07bBRGSC","Skip Stones","Natas Loves You","The 8th Continent","1","4","215413","spotify:user:flngr","2015-02-21T18:26:04Z"
"spotify:track:3DYiGhUODWqUvfvQJVbDvU","Coult It Be Love - Remix","Loni Gamble","Classics Funky Music, Vol. 2","1","4","427173","spotify:user:flngr","2015-03-12T13:41:13Z"
"spotify:track:20D61egfxKE9pp3Ffx99Xz","Brooklyn","Youngblood Brass Band","Live. Places.","1","1","425466","spotify:user:flngr","2015-03-20T17:33:06Z"
"spotify:track:1sFKcUH5sMAV4Qs0E99OLq","22","Lily Allen","It's Not Me, It's You","1","4","185527","spotify:user:flngr","2015-04-13T12:43:08Z"
"spotify:track:0lyPriADiItUMy5D6cVqYc","Coming Over to My Place","Palma Violets","Danger in the Club","1","5","249524","spotify:user:flngr","2015-05-04T12:18:05Z"
"spotify:track:6SdAztAqklk1zAmUHhU4N7","Taken for a Fool","The Strokes","Angles","1","5","203240","spotify:user:flngr","2015-05-04T12:51:34Z"
