﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6kPxQvI3ceJffWB8gbpEsn","After Life After Party (Suicideyear Remix)","Jacques Greene","After Life After Party","1","3","246818","spotify:user:flngr","2015-04-21T21:32:12Z"
"spotify:track:5HOd5X8hgeQlqC80N1DRdw","Heteronomous","Jacob Korn, Sneaker","You & Me","1","5","385468","spotify:user:flngr","2015-09-22T12:31:53Z"
"spotify:track:5x61K48UFO4fWqFqIq5INt","Q","Todd Terje","Spiral","1","2","720113","spotify:user:flngr","2015-09-02T21:23:02Z"
"spotify:track:1zPHm0JShFvhQdx6ThrqUX","Go Upstairs","Daso","Go Upstairs","1","1","570480","spotify:user:flngr","2015-03-18T16:06:55Z"
"spotify:track:1kfYxp0TdR6ZquzKY9ReKx","Slam","Plaid","Reachy Prints","1","4","347562","spotify:user:flngr","2014-09-22T14:01:13Z"
"spotify:track:0nrj0Pvs14AcTgLV2dp5QI","Coquelicot","Joachim Pastor","Trocétro","1","2","196110","spotify:user:flngr","2015-06-27T13:13:27Z"
"spotify:track:4QcFxM9RcKyfM9AEGSCm3B","Tyuratam - Original Mix","Hanssen","Programme","1","3","353404","spotify:user:flngr","2014-08-14T12:18:42Z"
"spotify:track:0bWQcR9R5CY0HWoMe1jB9c","Not Right Now - Original Mix","Hanssen","Wrong Direction","1","2","362945","spotify:user:flngr","2014-08-14T12:44:03Z"
"spotify:track:4QdR01ObM9RgUm22xbA6bG","Bruten","Johanna Knutsson, Hans Berg","Family Horror Pt. 2","1","3","464355","spotify:user:flngr","2015-07-12T20:59:01Z"
"spotify:track:55RWy2mGijFGGHFEj9Ez0a","Matin Lunaire","Plaid","Reachy Prints","1","6","252175","spotify:user:flngr","2014-09-22T14:07:53Z"
"spotify:track:6tD9SymZiodD08xNiMLgvp","Ritmo","Suzanne Kraft","Horoscope","1","3","412358","spotify:user:flngr","2015-03-18T13:07:54Z"
"spotify:track:6VXkpAZVmE4sD7vbJqeH9n","Duck And Cover","Roman Flügel","Gerd Janson presents Musik for Autobahns","1","6","302973","spotify:user:flngr","2015-03-18T15:33:27Z"
"spotify:track:1Q9tbzrNBAh6xH8vX0SMEo","The Look - Mark Flash UR Remix","Jacques Greene, Mark Flash UR","Another Girl","1","3","313310","spotify:user:flngr","2015-04-21T21:28:49Z"
"spotify:track:72vnhhXqdaKxQUKks4nF19","Tamboule Fudgemunk","Seibt, Max Graef","Rivers Of The Red Planet","1","6","362510","spotify:user:flngr","2015-04-02T16:22:47Z"
