﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7oJfkadNBy8J9NQJCWqVz5","A Calf Born In Winter","Khruangbin","Late Night Tales - Bonobo","1","3","209046","spotify:user:flngr","2015-01-27T13:13:57Z"
"spotify:track:2bVTnSTjLWAizyj4XcU5bf","Late Check-Out","Modeselektor","Happy Birthday!","1","16","38400","spotify:user:flngr","2015-01-27T13:14:15Z"
"spotify:track:22AjErgWGvXJIsYXKIWFUg","Dictaphone’s Lament","Tycho","Past Is Prologue","1","3","310706","spotify:user:flngr","2015-01-27T13:10:21Z"
"spotify:track:5ZE1ZBYPMlteecjgS6DwKI","Dust - Original Mix","Joris Voorn, Bram Stadhouders","Nobody Knows","1","12","374680","spotify:user:flngr","2015-01-27T13:12:38Z"
"spotify:track:7Mt610snoz79ouBw0iTV5M","6:26","Suzanne Kraft","Missum","1","4","386443","spotify:user:flngr","2015-03-18T12:53:39Z"
"spotify:track:1U4bYtyIuyRYoXxkqTamQL","Le long de la rivière tendre","Sébastien Tellier","Narco (Original Motion Picture Score)","1","5","190000","spotify:user:flngr","2015-01-27T13:13:48Z"
"spotify:track:65WWuyHkXrHDg5HMMJv8xx","Screams","Applescal","From A To Sea","1","5","167750","spotify:user:flngr","2015-03-05T14:29:08Z"
"spotify:track:2luh690L4FUKz0DEiBI4ej","To Embody - Original Mix","Joris Voorn","From A Deep Place","1","3","138333","spotify:user:flngr","2015-01-28T10:10:24Z"
"spotify:track:4AnmI7RgsUjVRNmxbP78d7","The Day We Met For Coffee - Afefe Iku Coffee Break Remix","Osunlade","The Day We Met For Coffee","1","2","578775","spotify:user:flngr","2015-01-30T15:02:52Z"
"spotify:track:3aGy3SfQuWtOvzhogvCEZO","Nine","Autchere","Balance 020 (Mixed By Deetron)","1","3","220200","spotify:user:flngr","2015-01-27T13:05:42Z"
"spotify:track:6R1bdJ86PJptBIZTUGhV3p","View Point","Teebs","E s t a r a","1","2","158803","spotify:user:flngr","2015-01-27T13:13:10Z"
"spotify:track:2RZ0HxjClpsE92O4pah02w","Berliner Luftikus","Thomas Fehlmann","Gute Luft","1","12","228853","spotify:user:flngr","2015-03-11T16:33:57Z"
"spotify:track:4KKeIZMFbkWfrltE8Z0BNW","Left - Original Mix","Joris Voorn","Nobody Knows","1","11","334106","spotify:user:flngr","2015-01-28T13:52:19Z"
"spotify:local:::Gas+-+Untitled+_4:573","Gas - Untitled _4","","","0","0","573000","spotify:user:flngr","2015-02-11T15:38:47Z"
"spotify:track:3ErEIn3vPI9PqwhRdtgGjm","In Triple Time","Biosphere","Dropsonde","1","4","350528","spotify:user:flngr","2015-03-30T13:02:00Z"
"spotify:track:2xwcERz21AgMZZ8c0t3f8J","Island Three","Guardner","Paris Can´t Wait","1","8","242200","spotify:user:flngr","2015-03-10T15:08:38Z"
"spotify:track:6OGa4SmdTS9UJKFA1WgJAe","Camilla","Thomas Fehlmann","Pop Ambient 2008","1","5","334680","spotify:user:flngr","2015-01-27T13:12:00Z"
"spotify:track:0DbkeGALRNxU2xWQzJyjOd","Sweets For Piano - Original Mix","Joris Voorn","Nobody Knows","1","5","246306","spotify:user:flngr","2015-01-27T13:12:25Z"
"spotify:track:1UAAvT9NFqAOCl5wDCfGM3","Amorphous Romance","Max Cooper, Tom Hodge","Fragmented Self EP, Pt. 2","1","1","219804","spotify:user:flngr","2015-01-28T14:19:49Z"
"spotify:track:7x4ik0i951bUpx3vcTTw7F","MoMo - Original Mix","Joris Voorn","Nobody Knows","1","9","216720","spotify:user:flngr","2015-01-28T15:00:22Z"
"spotify:track:2H4XyND3AZZcfvgIcEjMLb","Daphnis 26","Biosphere","Dropsonde","1","8","405141","spotify:user:flngr","2015-02-11T10:34:16Z"
"spotify:track:6Y4in9yL6FRU7wQvHrnjBt","Tozai - mixed","Joe Gray","DJ-Kicks (Will Saul)","1","4","315866","spotify:user:flngr","2015-01-27T13:13:19Z"
"spotify:track:3tef8nKKxm3caw4x5OfgCj","Devil's Elbow - Max Cooper Remix","Nick Warren","Devil's Elbow","1","2","556000","spotify:user:flngr","2015-01-28T14:18:49Z"
"spotify:track:3VRwQjJdUIN0XWzFxJWyVa","The Lava","Equateur","The Lava - EP","1","1","278650","spotify:user:flngr","2015-01-29T10:52:20Z"
"spotify:track:4frhMLOqjbeeUIfddVXGq8","Huldra","Gidge","The Spaces In Between","1","8","413134","spotify:user:flngr","2015-04-21T21:27:41Z"
"spotify:track:4lPGM6jGbrjcWYal4StjF1","I'm Going Home","Hans Zimmer","Interstellar: Original Motion Picture Soundtrack","1","12","348552","spotify:user:flngr","2015-05-17T19:15:00Z"
"spotify:track:2Tuij1J3sLnSVqQ67zLiSo","Infinite Blue","Mirage Of Deep","Hindu Yoga (Music for Meditation & Relaxation)","1","6","544906","spotify:user:flngr","2015-05-17T23:09:17Z"
"spotify:track:15zUgUE1eV2CR11bWHx4vn","Fly Over Bombay","A Reminiscent Drive","Inédits","1","2","185640","spotify:user:flngr","2015-05-28T14:42:40Z"
"spotify:track:0C1iiOn1Xh5gKBScOZgkRA","Airport","The Octopus Project","Kumiko, the Treasure Hunter (Original Soundtrack Recording)","1","8","158353","spotify:user:flngr","2015-06-18T19:58:07Z"
"spotify:track:6X8lsPEbTTsp88ThlvZBpv","Diner Walk","The Octopus Project","Kumiko, the Treasure Hunter (Original Soundtrack Recording)","1","9","205397","spotify:user:flngr","2015-06-18T20:02:44Z"
"spotify:track:5pW4Zn5TsAjq326UBa5r2I","Wrong Idea","The Octopus Project","Kumiko, the Treasure Hunter (Original Soundtrack Recording)","1","12","110691","spotify:user:flngr","2015-06-18T20:05:22Z"
"spotify:track:4V4KYQzJWr2hrwBbwm3EoS","With You","Tennyson","With You","1","1","214230","spotify:user:flngr","2015-08-28T14:42:52Z"
