﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:19zPZQI4MdAH0KOZPyeSXX","Dialeague","Applescal","A Mishmash of Changing Moods","1","3","264693","spotify:user:flngr","2015-05-11T20:33:12Z"
"spotify:track:1Nyo1gJJnOjUfc8YSrenSu","Connect","Afta-1","Undefined","1","17","201865","spotify:user:flngr","2015-06-01T10:23:53Z"
"spotify:track:19HKlXmZufh0YPeYo3TkfM","Mungolian Jetset presents Jaga Jazzist vs Knights Of Jumungus: Toccata","Mungolian Jetset","Mungodelics","1","1","373786","spotify:user:flngr","2015-03-19T09:26:19Z"
"spotify:track:1DaNWZOJhRcWUanygXBjEG","Begin to Begin","Lone","Airglow Fires","1","2","338551","spotify:user:flngr","2015-03-19T09:33:28Z"
"spotify:track:6s55vaXjEtZYHn2QR1mYDG","Busy Bee - 15 Year Dub","The Jazzual Suspects","Om 15: Celebrating 15 Years Of Om Records","2","5","416546","spotify:user:flngr","2015-03-19T09:32:48Z"
"spotify:track:6OGRM4MAOlyOdhHuX0OJ6P","A New Error","Moderat","Moderat (Deluxe Version)","1","1","367306","spotify:user:flngr","2015-03-19T09:26:11Z"
"spotify:track:1awariw0UjlCNIE6qOcM5Z","White Chocolate","Marco Passarani","Gerd Janson presents Musik for Autobahns","1","9","336564","spotify:user:flngr","2015-03-19T09:24:26Z"
"spotify:track:6DRiep4JMaNDRTQCDF6bYd","I Get Mine, You Get Yours","Leon Vynehall","Open EP","1","1","386297","spotify:user:flngr","2015-03-19T09:30:50Z"
"spotify:track:4z59c3k1ZMjFnfFJ6XGGII","Not Good Enough - Jean Tonique remix","KYOGI","Not Good Enough","1","2","235664","spotify:user:flngr","2015-04-14T17:53:15Z"
"spotify:track:1JSnjP5CqzbR7k8srXrW6b","Ripple - Original Mix","Max Cooper","Max Cooper - Traum Collection","1","6","459054","spotify:user:flngr","2015-03-19T09:26:39Z"
"spotify:track:55RWy2mGijFGGHFEj9Ez0a","Matin Lunaire","Plaid","Reachy Prints","1","6","252175","spotify:user:flngr","2015-03-19T09:27:37Z"
"spotify:track:72hm9hJmoyAxpzc8WcWi9N","Nevermind","Kartell","Sapphire","1","2","233589","spotify:user:flngr","2015-03-19T16:24:04Z"
"spotify:track:2S7BVYSaF8dK73A9gKTqiE","Helldorado","Aki Bergen","Helldorado","1","1","413658","spotify:user:flngr","2015-03-19T16:27:55Z"
"spotify:track:1kn8tTKkuVt3hqVkZ04FaX","Running","Max Graef, Wayne Snow","Rivers Of The Red Planet","1","4","256419","spotify:user:flngr","2015-04-13T06:25:16Z"
"spotify:track:6QP3Aixdd6ex2BD0isn8aE","White Heat Blood","David Douglas, Blaudzun","Moon Observations","1","9","224640","spotify:user:flngr","2015-04-14T15:16:40Z"
"spotify:track:6nwndehT1FNnBgn4rbQ4UQ","Farra","Ripperton","Niwa","1","4","293553","spotify:user:flngr","2015-04-21T21:33:07Z"
"spotify:track:6kPxQvI3ceJffWB8gbpEsn","After Life After Party (Suicideyear Remix)","Jacques Greene","After Life After Party","1","3","246818","spotify:user:flngr","2015-04-21T21:32:18Z"
"spotify:track:38LpbjQx5XAA95pb7AGRnE","Montego Bay Spleen","St Germain","Tourist [Remastered] (Remastered Version)","1","2","385677","spotify:user:flngr","2015-05-09T10:25:51Z"
"spotify:local:ampule::Soundstream+-+Live+Goes+On:509","Soundstream - Live Goes On","ampule","","0","0","509000","spotify:user:flngr","2015-05-12T10:11:50Z"
"spotify:track:5hRLfExcWLrHJ1P64Eu5Ll","Desire","Fort Romeau","Jetée / Desire","1","2","265077","spotify:user:flngr","2015-05-22T12:40:43Z"
"spotify:track:34KD9rEJujgvmNLQblQAjw","Insides","Fort Romeau","Insides","1","4","379266","spotify:user:flngr","2015-05-22T18:43:59Z"
"spotify:track:3LGovwr313YoUFXDOXtX8v","The Storm Is Yours","Applescal","A Mishmash of Changing Moods","1","10","255853","spotify:user:flngr","2015-05-22T18:44:39Z"
"spotify:track:555gxXfb1TjfdX043yVCvk","Tiden Flyver (Remix)","Afta-1","Undefined","1","18","254847","spotify:user:flngr","2015-06-01T10:28:01Z"
"spotify:track:0W9VngxdlACZ1EOxat4Tnp","From the Ocean","Afta-1","Toy Machines","1","11","225481","spotify:user:flngr","2015-06-03T14:33:53Z"
"spotify:local:Stamp+The+Wax::Premiere%3A+Bakradze+-+Quiet+Loop:378","Premiere: Bakradze - Quiet Loop","Stamp The Wax","","0","0","378000","spotify:user:flngr","2015-06-15T15:09:42Z"
"spotify:track:7M0sdJfln2MGvuPxM6vUzr","Warme Kachel","Nachtbraker","Janus EP","1","4","368965","spotify:user:flngr","2015-06-15T15:15:10Z"
"spotify:track:7GsTWQZW3Bh0AcCl2wCh2Y","The Look - Koreless Remix","Jacques Greene, Koreless","Another Girl","1","5","274627","spotify:user:flngr","2015-06-30T08:02:21Z"
"spotify:track:21J2SrzwsKJhcrQ2wCqqJE","Bleu - N'to Remix","Worakls","Good Night My Love","1","4","487142","spotify:user:flngr","2015-07-11T10:41:01Z"
"spotify:track:4STvEvTVce8fkfHcLADFkD","Kokobay","QY","Family Horror Pt. 2","1","4","394104","spotify:user:flngr","2015-07-12T20:59:36Z"
"spotify:track:7FoxxRYCGAZbYZrsnlZnQH","Falling","Falke","Algebra","1","2","381530","spotify:user:flngr","2015-07-12T21:05:39Z"
"spotify:track:6jgiNr8hHNacAbfUnCZJWF","Hide The Advertisement - Original","Nadastrom","Nadastrom","1","5","311556","spotify:user:flngr","2015-08-19T19:39:01Z"
"spotify:track:0n0n0Xs2uXoTdkWHYATe5f","Vayaal","Roy Rosenfeld, Guy Mantzur","Meeting Point","1","11","327389","spotify:user:flngr","2015-08-28T14:37:55Z"
"spotify:track:45cgcRRBHA4kmToEcMwAbE","Tomb Tomb","Alland Byallo","Bones, Flesh","1","7","351175","spotify:user:flngr","2015-08-29T19:03:52Z"
"spotify:track:4LcNM4yskNzZm66Qvj3cEI","Periphery","Alland Byallo","Bones, Flesh","1","8","322536","spotify:user:flngr","2015-08-29T19:09:29Z"
"spotify:track:1RRBCwEbu1gsgzuzLONpsh","Singularity","Alland Byallo","Bones, Flesh","1","10","348601","spotify:user:flngr","2015-08-29T19:18:17Z"
"spotify:track:3LX9mzJrzHy3P2qozfVvkS","Crepuscular - Dave Aju Remix","Alland Byallo","Crepuscular","1","2","452489","spotify:user:flngr","2015-08-29T20:06:55Z"
"spotify:track:343aWbF8rm23ibamGJcNbR","In Another Room (Original Mix)","Pional","A Moot Point","1","1","454265","spotify:user:flngr","2015-09-02T20:51:42Z"
"spotify:track:6wY4oVDt1YUScpBSLWg4qW","Families","John Talabot feat. Glasser","Families","1","1","303322","spotify:user:flngr","2015-09-03T12:34:41Z"
"spotify:track:1V0q5cUroUwxsOLiXjbLfz","Ciao - Original Mix","Christopher Rau","Two","1","8","233913","spotify:user:flngr","2015-09-20T18:34:48Z"
"spotify:track:5IoQprmEOUwbOxQRCgZu9t","Ping To You - Original","Christopher Rau","Asper Clouds","1","2","238706","spotify:user:flngr","2015-09-20T18:45:29Z"
"spotify:track:64zhlJchm50RmUwcrnnvpJ","Always The Same - Original","Christopher Rau","Asper Clouds","1","5","503440","spotify:user:flngr","2015-09-20T18:52:30Z"
"spotify:track:387Ud49LDQsuouuHmwiVyV","They Say I Can't Fly","and.id","Eternal Return","1","2","378080","spotify:user:flngr","2015-09-24T16:31:40Z"
"spotify:track:55Z6LMmIMAjc21cvxHs167","Sophr One","Frits Wentink","Barry Tone EP","1","5","385159","spotify:user:flngr","2015-10-21T14:59:56Z"
"spotify:track:1Pf8tBN9CNj56gEIKGoyY2","Aquarelle","Frits Wentink","Live Fast, Dwayne Young","1","5","480544","spotify:user:flngr","2015-10-21T16:20:37Z"
"spotify:track:52wqQ0URhqq4d15tHgKGQd","What's a Girl to Do","Fatima Yamaha","A Girl Between Two Worlds","1","4","446510","spotify:user:flngr","2015-10-21T18:14:18Z"
"spotify:track:3qOZDY8obegsDt8ICOYzgK","Schiretlic - Original Mix","Mihai Popoviciu","Prime Number","1","3","378415","spotify:user:flngr","2015-10-23T21:48:09Z"
"spotify:track:050FRfGTiixo8MfXyAiteV","The Rift Valley","Rebelski","We Drop Tracks! (A Deep House Selection)","1","22","200039","spotify:user:flngr","2015-11-10T13:41:28Z"
"spotify:track:2jDDIy9D6hXkuUCnHJr6kN","Your War Is Over","Roman Flügel","Happiness Is Happening","1","4","430533","spotify:user:flngr","2015-11-25T10:01:48Z"
"spotify:track:1f76GPFcvMaaMAftYnn28c","Celestial - El_txef_a Remix","VIMES","Exotic Series 6.0","1","3","382745","spotify:user:flngr","2015-11-26T08:43:16Z"
"spotify:track:3QruohbmXYapYhe20oAVA6","Tannhauser - Juju & Jordash Remix","Sisterhood","Call Me Ishmael","1","4","398628","spotify:user:flngr","2015-12-05T21:55:10Z"
"spotify:track:4GspJiSjfLnpAqd8pMK32l","Disc Wars","Daft Punk","TRON: Legacy","1","17","251440","spotify:user:flngr","2015-12-06T14:09:26Z"
"spotify:track:4OLmxH0KtAsHb51lQgBBlB","Ann River, Mn","Dorian Concept","Joined Ends","1","2","247524","spotify:user:flngr","2016-02-15T15:41:16Z"
"spotify:track:6TkvfX67Lrwib3l01XaJvN","Clap Track 4","Dorian Concept","Joined Ends","1","4","198141","spotify:user:flngr","2016-02-15T15:57:05Z"
"spotify:track:3HowSVTFzuE2oZ6rlsRtoR","Draft Culture","Dorian Concept","Joined Ends","1","5","299536","spotify:user:flngr","2016-02-15T16:02:26Z"
"spotify:track:57B2jIG5cSudZm7EpHMqPG","11.04.2012","Dorian Concept","Joined Ends","1","11","236015","spotify:user:flngr","2016-02-15T16:33:09Z"
