﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:54GFI4HUoe2D6BSEg6qCna","Bummse","Max Graef","Bummse EP","1","1","476009","spotify:user:flngr","2015-04-02T16:43:37Z"
"spotify:track:02EI5dvAhAHEaoN4uakAOc","Before","Copy Paste Soul","The Push - EP","1","2","356653","spotify:user:flngr","2015-01-27T12:52:57Z"
"spotify:track:5smEMW6toKMLowEDlc5bi2","Truetone","Peter Horrevorts & Dosem","Gem Summer Sampler 1.0","1","2","426504","spotify:user:flngr","2015-01-13T14:23:30Z"
"spotify:track:1MFUa2uzHNvoM5xfJyG8FW","Hey Blop - Original Mix","Gabriel Ananda","Live Series Vol.2","1","1","560625","spotify:user:flngr","2015-01-13T14:23:48Z"
"spotify:track:6zpfP9IyODNeKlIDrHNSx8","Sandburg - Alec Troniq Remix","Tinush","Sandburg","1","3","418000","spotify:user:flngr","2015-01-13T14:27:47Z"
"spotify:track:4yXK1nZhDfTV0FrUWerdMA","Autumn","TWR72","1991","1","2","362920","spotify:user:flngr","2015-01-13T14:31:19Z"
"spotify:track:3Zu287agj3oVg9khbHi3Yq","Airglow Fires","Lone","Airglow Fires","1","1","360314","spotify:user:flngr","2015-01-13T14:32:24Z"
"spotify:local:Electro+Beast::Gel+Abril+-+Changing+Steps:400","Gel Abril - Changing Steps","Electro Beast","","0","0","400000","spotify:user:flngr","2015-06-05T12:34:12Z"
"spotify:track:2Kk1REPIP2uiPIwsHShhcT","The Fat Rat - Original Mix","Detroit Swindle","Toolroom Knights Mixed By Doorly","1","13","405949","spotify:user:flngr","2015-01-27T12:58:46Z"
"spotify:track:4yeitPHg2ZMksgvk4waLaa","The Geklöppel Continues","DJ Koze","Balance 020 (Mixed By Deetron)","1","10","373773","spotify:user:flngr","2015-03-10T14:54:54Z"
"spotify:track:0UIqnAvch5mDPE0UVq0ypI","Fall In The","Özgür Can","From Here To There, Vol. 1","1","6","441025","spotify:user:flngr","2015-03-19T16:27:40Z"
"spotify:local:Nico+Stojan:Callejera:Callejera+%28Original+Mix%29:432","Callejera (Original Mix)","Nico Stojan","Callejera","0","0","432000","spotify:user:flngr","2015-03-25T16:19:56Z"
"spotify:track:4RcqTwZyT0XhtncRqOdaaE","After the After - Original Mix","Dirty Culture","After the After","1","1","433548","spotify:user:flngr","2015-03-25T16:24:27Z"
"spotify:track:3wDfyDtCrFtxUu1SDntPmv","2000 Miles - Original Mix","Martin Landsky","Werkschau","1","1","420129","spotify:user:flngr","2015-03-25T16:30:00Z"
"spotify:track:6kmZFC6ZQTP1A4oSLjPBm2","My Reflection (Deetron Remix) - Remix","Osunlade, Divine Essence","Passage","1","6","471320","spotify:user:flngr","2015-03-31T08:09:29Z"
"spotify:track:0lJIDwEEytdIDFoXZYyrTI","Shake That Chord - Original Mix","Cubic State","Deep Me!","1","3","391695","spotify:user:flngr","2015-03-31T08:13:12Z"
"spotify:track:2EHzPM4tiFeZg77HWfevdQ","Brother","Leon Vynehall","Brother / Sister","1","1","432300","spotify:user:flngr","2015-04-02T14:14:54Z"
"spotify:track:0fviBIyGEmNg21MctXpSGh","Confirmation Bias (Jesse's Live @ Haista Studio Mixxx)","Skatebård","Confirmation Bias","1","4","382669","spotify:user:flngr","2015-05-28T14:45:28Z"
"spotify:track:1GIsD1Nb1kSASHnDL5LKhi","Confirmation Bias (Original mix)","Skatebård","Confirmation Bias","1","1","821395","spotify:user:flngr","2015-05-28T14:45:43Z"
"spotify:local:Pino+Cornelio::Blake+Baxter+-+Sexuality+%28Original+%2789+Mix%29:360","Blake Baxter - Sexuality (Original '89 Mix)","Pino Cornelio","","0","0","360000","spotify:user:flngr","2015-06-07T09:05:36Z"
"spotify:track:1wfGFNtZDkdnah54kD8cJ8","Can I Mither You?","Chocky","DSCNTD002","1","4","309417","spotify:user:flngr","2015-06-07T09:38:12Z"
"spotify:track:4c0M7zZqz40reYaf4d9JjN","The Supplier","Chocky","Flumo Limited 004: The Supplier","1","1","365145","spotify:user:flngr","2015-06-07T09:38:57Z"
"spotify:track:0tPTn10NdScyuNEKsvL97C","What a Night","SKMK","What a Night EP","1","1","417991","spotify:user:flngr","2015-06-27T13:43:02Z"
"spotify:track:5qj5LsKF3bmRJj0mnfMhwn","Hungry","Stephan Hinz","Watergate 17","1","2","352380","spotify:user:flngr","2015-06-30T10:24:39Z"
"spotify:track:3mRHh0nNcgbZILHXCxPvkm","Blind Birds","N'to","1825","1","2","549035","spotify:user:flngr","2015-07-12T20:43:46Z"
"spotify:track:4NUqbdfGZGgw53cpFJW55y","The Gloomies","N'to","Every Wall Is a Door / The Gloomies","1","2","473792","spotify:user:flngr","2015-07-12T20:45:26Z"
"spotify:track:0QpE9gjfImIYGu34LiRGyO","Back To Ipanema","Lauhaus","Cocoon Compilation I","1","2","360160","spotify:user:flngr","2015-07-12T20:48:56Z"
"spotify:track:3mjpMwIcCdhAY4pZkaOpwJ","Dust Devil - Radio Edit","Lauhaus","Relocation EP","1","2","205161","spotify:user:flngr","2015-07-12T20:52:05Z"
"spotify:local:Empreinte+Musicale::Mr.G+-+Crab+Jerk:327","Mr.G - Crab Jerk","Empreinte Musicale","","0","0","327000","spotify:user:flngr","2015-07-15T19:28:34Z"
"spotify:track:5bs5gIFEZk65YShwdijBEV","She Dines On My Eyes - Original Mix","Alland Byallo","She Dines On My Eyes","1","1","514878","spotify:user:flngr","2015-08-29T19:22:42Z"
"spotify:track:3JdVztJMoAannoVn51IUYa","Good Life - Matt Smallwood Remix","Inner City","Kevin Saunderson Presents : Inner City Good Life 2013 Remixes","1","2","421935","spotify:user:flngr","2015-09-07T20:20:01Z"
"spotify:track:7dw79k9XSEz5uBp8G9QnPs","The Trooper","9west","Heart Shaped Moon","1","3","352625","spotify:user:flngr","2015-09-07T20:21:09Z"
"spotify:track:2LEaCOGCMHj8QnZ91VNBeA","Bones","Uffe","Bones","1","1","430337","spotify:user:flngr","2015-09-07T20:40:39Z"
"spotify:track:0SSbLduo2YImMdTDmqQG1i","To Be Back - Original Mix","Mihai Popoviciu","Lost It","1","2","433649","spotify:user:flngr","2015-10-23T21:53:09Z"
"spotify:track:55vkADxqSSmQAH7nxrEBIm","B.OST.ON - Original Mix","Detroit Swindle","B.OST.ON","1","2","407008","spotify:user:flngr","2015-09-20T13:18:44Z"
"spotify:track:0bSl49I3GZRrgDXT9YNdOP","Mouse","Frits Wentink","WOLFEP019","1","1","388149","spotify:user:flngr","2015-10-21T14:56:38Z"
"spotify:track:1Endaw8XE8KBh4GHNxl5f2","Late Night Jam - Original Mix","Levon Vincent","Panorama Bar 02 - Part II","1","1","616109","spotify:user:flngr","2015-09-22T11:42:59Z"
"spotify:track:4hS3VNZsMaDRZ2e0Xtreuy","Paper - Original Mix","Redshape","Square","1","7","300466","spotify:user:flngr","2015-09-23T15:41:18Z"
"spotify:track:4g1C5JGB4UoBrDc9mvIFeW","Yesterday The Dog","Canyons","The Lovemore Ep","1","4","256626","spotify:user:flngr","2015-10-09T09:26:20Z"
"spotify:track:4CdVHrbqh0DYETZ001k7eC","Mirror Box","Flako","Mesektet Extnd","1","9","172426","spotify:user:flngr","2015-10-21T10:02:09Z"
"spotify:track:2eIWoKvsTvCk9ZLZwzhOqW","Ligament","Frits Wentink","Family Dinner EP","1","2","317908","spotify:user:flngr","2015-10-21T14:53:49Z"
"spotify:track:7jeDm3sohcW9DYf8Eqr7as","What We Know - Motor City Drum Ensemble Remix","Midland, Motor City Drum Ensemble","Placement Remixes","1","2","362341","spotify:user:flngr","2015-10-21T21:33:21Z"
"spotify:track:0NzqaEyzoXVuPH22aKqxoY","5000 Hz - Original Mix","Mihai Popoviciu","5000 Hz","1","1","410163","spotify:user:flngr","2015-10-23T21:42:18Z"
"spotify:track:6oY0hAIYyhmC2IsPDjqENo","We Believe in Melody","Zenbi","We Drop Tracks! (A Deep House Selection)","1","17","375606","spotify:user:flngr","2015-11-10T13:38:39Z"
"spotify:track:29tFk1DwF9Bjkm66ZTLpS0","Wayfairer","Huxley","Blurred","1","8","271583","spotify:user:flngr","2015-11-15T22:31:28Z"
"spotify:track:3ua5Q5FSlq4PPms09Kt6o5","Escape To Amsterdam","Gregor Tresher","Organic Techhouse Vol.2","1","15","337699","spotify:user:flngr","2015-12-06T16:55:12Z"
"spotify:track:0rBKQiFMwSG2FE5a8TL2G2","Naive Response","Daniel Avery","Drone Logic","1","5","323280","spotify:user:flngr","2015-12-06T16:57:49Z"
"spotify:track:5z1up9T003AzpIvixl4pK7","Insomnia","Dataworx","Insomnia","1","1","329523","spotify:user:flngr","2015-12-06T16:58:26Z"
"spotify:track:15ipPIaI8CEjEOtrPxd8uK","All I Need","Daniel Avery","Drone Logic","1","8","415666","spotify:user:flngr","2015-12-06T17:01:19Z"
"spotify:track:5DxYsSeQi2OUuZGwLa1mF4","No Money Blues feat. Extra Curricular - Original Mix","Duke Dumont","For Club Play Only Pt.2","1","1","350987","spotify:user:flngr","2015-12-27T22:57:57Z"
"spotify:track:2WWQVYpVHAJ1isWFZLUwqT","Wash My Soul","Adesse Versions","Wash My Soul","1","1","399972","spotify:user:flngr","2015-12-27T23:23:57Z"
"spotify:track:6kHQeGDXAthx09CzOTxOX7","Fantasia","Kink","Fantasia","1","1","422218","spotify:user:flngr","2016-01-14T22:20:08Z"
"spotify:track:0M1liCujJdpecB5YYVF5gf","Waterpark Funk (KiNK remix) [feat. Karina Nistal]","Kink, Luvlux, Karina Nistal","Reflections001","1","11","425693","spotify:user:flngr","2016-01-14T22:22:11Z"
"spotify:track:6SYBTnzW7ykkGwol7bA5AO","Don't","Omar Odyssey, Bicep","You / Don't","1","2","367504","spotify:user:flngr","2016-01-14T22:24:32Z"
"spotify:track:6hzYWxMvLU5hZL1dRTgX48","Red Runner - Glenn Astro & IMYRMIND Remix","I.M.Yrmind, Wayne Snow, Glenn Astro","Red Runner EP","1","3","385669","spotify:user:flngr","2016-01-21T13:21:22Z"
"spotify:track:3ef3Yxyu6RmoClBPBYtWmw","Lointain - Carlos Pizzetti Remix","Popular Computer","Freak Material","1","1","351783","spotify:user:flngr","2016-01-24T12:29:58Z"
"spotify:track:1h27zl0DAKv4ZJZ81YUViP","$100 Bill - Original Mix","Benoit & Sergio","Bridge So Far","1","2","386194","spotify:user:flngr","2016-02-06T10:15:51Z"
"spotify:track:0HnA7K1T1Bu7A8QHr3a4ZU","Constantly no respect (the phenomena) - Black Mustang Remix","Black Devil Disco Club, Black Mustang","Ride Again","1","3","469093","spotify:user:flngr","2016-02-07T13:40:22Z"
"spotify:track:79CJxU8rbH7IvlYkTXDZqq","Faust","Dadras","Rubaiyat II","1","5","466093","spotify:user:flngr","2016-02-13T21:06:32Z"
"spotify:track:59ofoDr7kfOezp0mKSt1CU","Old Song","Max Mohr","Trickmixer's Revenge","1","7","394440","spotify:user:flngr","2016-02-15T14:22:56Z"
