﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6ieYv6InSKUH29rytxaAZd","Loot - Instrumental","Mafikizolo","Gate Crashers","1","9","320533","","2012-11-13T12:31:20Z"
"spotify:track:3yKGyhB7mghoHCmhJhNrwu","Latinica Witch - Vincenzo's Satin Soul Mix","Rivera Rotation","Latinica Witch","1","3","510749","","2012-11-12T16:02:30Z"
"spotify:track:6Nnzx3nAyPLDAG1eLFpf7k","Music Sounds Better With You (Stardust Karaoke Tribute) - Karaoke Mix","Poptastic Karaoke","Poptastic Karaoke Presents - Top Off The Pops 3 Vol. 6","1","52","241867","","2012-11-12T16:28:26Z"
"spotify:local:::Lifelike+-+L.O.V.E.+Is+What+You+Need:402","Lifelike - L.O.V.E. Is What You Need","","","0","0","402000","","2012-11-12T16:22:14Z"
"spotify:track:3zxfkjSY7nXXiCEhSluXCf","World's Famus - Original Mix","Wattie Green","Wattie Green EP","1","2","376887","","2012-11-12T16:22:42Z"
"spotify:local:Etienne+de+Crecy:Super+Discount:Le+Patron+Est+Devenu+Fou:605","Le Patron Est Devenu Fou","Etienne de Crecy","Super Discount","0","0","605000","","2012-11-12T16:29:50Z"
"spotify:local:Jazzanova+Feat.+Vikter+Duplaix:City+Lounge+2:That+Night+%28Wahoo+Mix%29:441","That Night (Wahoo Mix)","Jazzanova Feat. Vikter Duplaix","City Lounge 2","0","0","441000","","2012-11-12T16:40:31Z"
"spotify:track:4yMS3QliIfezWM4JCD41FX","Dreaming Siam - Original Mix","Luminodisco","House Of Dikso","1","3","418609","spotify:user:flngr","2013-03-28T23:08:22Z"
"spotify:track:5smEMW6toKMLowEDlc5bi2","Truetone","Peter Horrevorts & Dosem","Gem Summer Sampler 1.0","1","2","426504","spotify:user:flngr","2013-04-15T14:50:06Z"
"spotify:track:6jJ3anX7rQAClmhSHz10ud","Linear Sky","Lützenkirchen","Organic Techhouse Vol.3","1","1","378044","spotify:user:flngr","2013-06-11T21:30:09Z"
"spotify:track:2a3FaoqECorBuMHwOkZQpS","I House You","Lützenkirchen","Organic Techhouse Vol.2","1","4","398000","spotify:user:flngr","2013-06-14T21:30:57Z"
"spotify:track:4kKjlQ9hiDZBKxJhs0P31S","Le Voyage","Kellerkind","Poolside : Music, Vol. 2 (A Fine Selection of Deep & Tech House Grooves)","1","3","386897","spotify:user:flngr","2013-07-21T09:02:13Z"
"spotify:track:76ckZscOYjgGAE6KGv6lmV","Delusion of the Enemy - Original Mix","Kink, Marc Romboy","Poolside : Music, Vol. 2 (A Fine Selection of Deep & Tech House Grooves)","1","19","493977","spotify:user:flngr","2013-07-21T20:56:35Z"
"spotify:track:6cFoeVipP69mZh896kvOp2","Confuison - Original Mix","D-Nox, Beckers","Poolside : Music, Vol. 2 (A Fine Selection of Deep & Tech House Grooves)","1","21","453266","spotify:user:flngr","2013-07-21T21:04:00Z"
"spotify:track:2EG4yWCy827KQ7ByADofS9","L'Arc En Ciel - Original Mix","Marc Romboy","L'Arc En Ciel","1","1","418000","spotify:user:flngr","2013-07-21T21:55:07Z"
"spotify:track:5tIF8AvqAZi6HEShkrUn2c","L'Arc En Ciel - Trikk Remix","Marc Romboy","L'Arc En Ciel","1","4","371039","spotify:user:flngr","2013-07-21T22:09:45Z"
"spotify:track:516vy7P5o8lYfYpV96Gyei","Black & Light","Aki Bergen","Black & Light","1","3","436214","spotify:user:flngr","2013-07-21T22:24:58Z"
"spotify:track:3rUBKpBHnWzAgJckTZZqS7","City Night Crowd","Aki Bergen","Black & Light","1","6","257579","spotify:user:flngr","2013-07-21T22:26:12Z"
"spotify:track:0sfNvofVhkY4OJjyq6d4Hz","Funky Fever","FakeFunk","Funky Fever - EP","1","1","360000","spotify:user:flngr","2013-07-22T12:33:05Z"
"spotify:track:3aEZg1V3OOspXHYaarONg5","Soul Kitchen - Orginal Version","David August","Sweden Roof","1","2","494127","spotify:user:flngr","2014-01-13T13:42:55Z"
"spotify:track:0DRYSzaLvdoArDvJTkCl0B","Show Me","Touch Sensitive","Pizza Guy / Show Me","1","3","332772","spotify:user:flngr","2014-01-24T17:56:01Z"
"spotify:track:4RcqTwZyT0XhtncRqOdaaE","After the After - Original Mix","Dirty Culture","After the After","1","1","433548","spotify:user:flngr","2014-01-28T17:52:20Z"
"spotify:track:2ephmN2C9aolrfuZ5l9Hjn","Password to Your Heart - Tchatcha Remix","Dirty Culture, Vanessa Sanches","Password to Your Heart","1","2","391707","spotify:user:flngr","2014-01-28T17:55:31Z"
"spotify:track:34sxj0rfeXiqxeuuTkD0se","Drop It Again","Dirty Culture","Drop It Again","1","1","414545","spotify:user:flngr","2014-01-28T17:57:20Z"
"spotify:track:2IFAhswuhK4yzNjFH4IZo6","The Process - Original","Jeff Haze","The Process","1","1","390243","spotify:user:flngr","2014-02-04T10:22:00Z"
"spotify:track:4F0MeHqA2G0gnfLzTBtZ0Z","Escape From Tulsa - Jeff Haze Escape Mix","Jeff Haze","The Jeff Haze Experience","1","1","368004","spotify:user:flngr","2014-02-04T10:22:02Z"
"spotify:track:0ifoCuTp6QqnTBfnHMtWIO","Metaphysical - Jesse Rivera Remix","Jeff Haze","Funk Pumper","1","3","369120","spotify:user:flngr","2014-02-04T10:26:49Z"
"spotify:track:0gaebp2y20i3RZ5DdGV6LE","Heaven Sent","Get Down Edits","Get Down Edits, Vol. 4","1","3","412386","spotify:user:flngr","2014-04-18T22:05:58Z"
"spotify:track:42Ejs45Yxgoh5ysf1FIX13","Brazillian Heat - 1200 Warriors Remix","Wattie Green","Brazilian Heat Remixes","1","3","350476","spotify:user:flngr","2014-06-30T14:39:08Z"
"spotify:track:3Tn2Y8j1QlMiZOnKzy0q8Y","Rick","Matthias Zimmermann, SCNTST","Sound Pellegrino Presents SND.PE, Vol. 1","1","2","376965","spotify:user:flngr","2014-10-12T19:36:41Z"
"spotify:track:77GnDyzAwqq6Hk32oiemlU","Deliberate","Carlos Sanchez","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","17","370437","spotify:user:flngr","2014-11-09T21:53:37Z"
"spotify:track:0VGXHssNqBeDJZpet6vRSm","Pride (A Deeper Love) (Feat. Elliotte Williams N'Dure) - Pedersen Remix","Kid Massive, Backwood, Elliotte Williams N'Dure","Pride (A Deeper Love) - The Remixes","1","3","298771","spotify:user:flngr","2014-12-03T17:54:52Z"
"spotify:track:6tFOlcLVtwta8K408rQZ8g","Pantera (Darius Remix)","Kartell","Riviera - EP","1","5","233884","spotify:user:flngr","2015-01-12T19:05:01Z"
"spotify:track:6r6oHZgKqgee2HoQ495jfi","Disco Rebeat","Gorge","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","14","445653","spotify:user:flngr","2015-01-13T14:30:20Z"
"spotify:track:4dLXoBxC0NylPL2NbUS7ZD","Pleasure - M.Constant Remix","123Mrk","Noname EP Remixed","1","12","317549","spotify:user:flngr","2015-01-13T14:31:33Z"
"spotify:track:1DaNWZOJhRcWUanygXBjEG","Begin to Begin","Lone","Airglow Fires","1","2","338551","spotify:user:flngr","2015-01-13T14:32:16Z"
"spotify:track:6DRiep4JMaNDRTQCDF6bYd","I Get Mine, You Get Yours","Leon Vynehall","Open EP","1","1","386297","spotify:user:flngr","2015-01-16T14:09:23Z"
