﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:local:Kartell::Bernard+Wright+-+Just+Chillin%27+Out+%28Kartell+Edit%29:250","Bernard Wright - Just Chillin' Out (Kartell Edit)","Kartell","","0","0","250000","spotify:user:flngr","2015-02-03T00:03:36Z"
"spotify:track:1Bovn3zcbenKWDlmiPMtZP","Shake Your Body - Vocal Version","The Boogieman, Juan Laya, Andre Espeut, Jorge Montiel","Shake Your Body (feat. Juan Laya, Andre Espeut & Jorge Montiel)","1","1","266000","spotify:user:flngr","2015-09-17T21:10:49Z"
"spotify:track:7hVfHitE3vTozelH0m10nc","My Love Song For You","Nile Rodgers","Adventures In The Land Of The Good Groove","1","7","264346","spotify:user:flngr","2015-09-20T13:45:48Z"
"spotify:local:Midnight+Magic:Nova+Tunes+2.5:Beam+Me+Up:312","Beam Me Up","Midnight Magic","Nova Tunes 2.5","0","0","312000","spotify:user:flngr","2015-02-02T16:46:31Z"
"spotify:track:5uPdbHW44Jg2DweZKBaEu7","Yellow Magic","Luke & Jimmy","Think You Know","1","1","336842","spotify:user:flngr","2015-02-02T16:46:41Z"
"spotify:track:6aBUnkXuCEQQHAlTokv9or","This Must Be The Place (Naive Melody) - 2005 Remastered Version","Talking Heads","Speaking In Tongues (Deluxe Version)","1","9","296146","spotify:user:flngr","2015-02-03T00:02:28Z"
"spotify:track:2s6EN74jTD2GIuQEyT5BUe","Take Me Up","Scotch","Gelato! Le meilleur de la dance italienne des années 80","1","3","210053","spotify:user:flngr","2015-02-02T16:40:41Z"
"spotify:track:0gaebp2y20i3RZ5DdGV6LE","Heaven Sent","Get Down Edits","Get Down Edits, Vol. 4","1","3","412386","spotify:user:flngr","2015-02-02T16:40:46Z"
"spotify:track:2jpd5VSPdmVqlYvd8C4vtv","I Love Video - Gilbert Cohen & Vidal Benjamin Edit","New Paradise","Disco Sympathie Edith Sampler (Vidal Benjamin présente)","1","3","347586","spotify:user:flngr","2015-03-10T12:32:46Z"
"spotify:local:::Electric+Mind+-+Zwei+%28Dub+Version%29+1983:339","Electric Mind - Zwei (Dub Version) 1983","","","0","0","339000","spotify:user:flngr","2015-03-12T10:26:24Z"
