﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:local:ampule::Soundstream+-+Live+Goes+On:509","Soundstream - Live Goes On","ampule","","0","0","509000","spotify:user:flngr","2015-12-06T16:47:42Z"
"spotify:track:45cgcRRBHA4kmToEcMwAbE","Tomb Tomb","Alland Byallo","Bones, Flesh","1","7","351175","spotify:user:flngr","2015-12-06T16:51:30Z"
"spotify:track:5LDOmGjfpk25NjSLToUHyq","Chuggernaut - Original Mix","Sean Collier","Chuggernaut","1","1","430080","spotify:user:flngr","2015-12-06T16:46:45Z"
"spotify:local:TOMMY+VICARI+JNR::%27+Fault+%28Live%29+%2F+It%27s+More+Fun+To+Compute+%27:419","' Fault (Live) / It's More Fun To Compute '","TOMMY VICARI JNR","","0","0","419000","spotify:user:flngr","2015-12-06T16:50:25Z"
"spotify:track:2gtapCplmxJvCZ0lrHkqau","Animal Mother","pablo mateo","Why EP","1","1","504367","spotify:user:flngr","2015-12-06T16:46:19Z"
"spotify:track:3yGUz1riQlWmVeuogDu5pP","Cricket Orchestra","Smallpeople","Fortyfour Ways","1","4","289395","spotify:user:flngr","2015-12-06T16:45:12Z"
"spotify:track:1iAtFelIDMdw2hxUZonUXt","Capri - Original","Christopher Rau","Asper Clouds","1","8","388306","spotify:user:flngr","2015-12-06T16:45:09Z"
"spotify:track:5ZYQdwsikhfE81WIPNJVr9","Tribune - Original Mix","Alland Byallo","She Dines On My Eyes","1","3","492000","spotify:user:flngr","2015-12-06T16:51:46Z"
"spotify:track:4hS3VNZsMaDRZ2e0Xtreuy","Paper - Original Mix","Redshape","Square","1","7","300466","spotify:user:flngr","2015-12-06T16:45:47Z"
"spotify:track:7oESymfOgJKx5p43cWs9gt","Ronna","Roy Rosenfeld, Anna","Meeting Point","1","4","438357","spotify:user:flngr","2015-12-06T16:52:17Z"
"spotify:track:1f5ydUAQh6qYVnwzKqGjwg","My Drug Is Rock'n'Roll - Felix Bernhardt Remix","Tinush","Wasser, Brot Und Improvisieren","1","10","377962","spotify:user:flngr","2015-12-06T16:53:59Z"
"spotify:track:7jeDm3sohcW9DYf8Eqr7as","What We Know - Motor City Drum Ensemble Remix","Midland, Motor City Drum Ensemble","Placement Remixes","1","2","362341","spotify:user:flngr","2015-12-06T16:49:57Z"
"spotify:track:3wvDNfMThAp5XoiRthVzuW","Bishop Fluk","Hesperius Draco","Cathar Rhytms","1","5","353897","spotify:user:flngr","2015-12-14T13:46:22Z"
"spotify:track:4hviHKnYrVGyknCtP1i64t","Lady","Citizenn, Aisha","Human Interface","1","11","301675","spotify:user:flngr","2015-12-27T23:27:45Z"
"spotify:track:17RV5uW8Xt8YxGwOWnSuBn","Schaben","Max Mohr","Trickmixer's Revenge","1","6","446160","spotify:user:flngr","2016-02-15T14:23:26Z"
