﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6WkTHPckeK7yyt1wjSzYdH","For Real","Tigerskin","In a Trance Ep","1","5","434221","spotify:user:flngr","2015-04-17T21:00:40Z"
"spotify:track:0sfNvofVhkY4OJjyq6d4Hz","Funky Fever","FakeFunk","Funky Fever - EP","1","1","360000","spotify:user:flngr","2015-04-17T21:05:03Z"
"spotify:track:1Y21AWpewmntJZYIaqzImJ","Coucou disco (Lifelike Remix)","Dim Sum","Coucou disco - EP","1","3","448000","spotify:user:flngr","2015-10-13T17:24:32Z"
"spotify:track:7cMFjxhbXBpOlais7KMF3j","Voyager","Daft Punk","Discovery","1","10","227866","spotify:user:flngr","2015-05-18T21:02:00Z"
"spotify:track:3bi9LdoayzjhpriotcubGd","Night Patrol","Lifelike","Night Patrol - Single","1","1","470000","spotify:user:flngr","2015-04-17T21:00:42Z"
"spotify:track:3sNAGVHGo4K8ARz2LXQaiY","Lick My Deck - Original Mix","Sebastian Ingrosso, John Dahlbäck","Stockholm Disco EP","1","1","488181","spotify:user:flngr","2015-09-26T20:54:58Z"
"spotify:track:22p4DbJga9RfHxVY4Q1vvN","Crushed Ice","MAM","Future Disco Presents: Poolside Sounds","1","8","280417","spotify:user:flngr","2015-05-29T12:10:02Z"
"spotify:track:63Epif4lMuQT3AiYoHqJ1V","To The Rhythm - Original Mix","Fafa Monteco","Cockatoo Club EP","1","2","410024","spotify:user:flngr","2015-11-10T13:42:20Z"
"spotify:track:77GnDyzAwqq6Hk32oiemlU","Deliberate","Carlos Sanchez","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","17","370437","spotify:user:flngr","2015-04-17T21:05:34Z"
"spotify:track:6Nnzx3nAyPLDAG1eLFpf7k","Music Sounds Better With You (Stardust Karaoke Tribute) - Karaoke Mix","Poptastic Karaoke","Poptastic Karaoke Presents - Top Off The Pops 3 Vol. 6","1","52","241867","spotify:user:flngr","2015-04-17T21:04:21Z"
"spotify:track:4yMS3QliIfezWM4JCD41FX","Dreaming Siam - Original Mix","Luminodisco","House Of Dikso","1","3","418609","spotify:user:flngr","2015-04-17T21:04:30Z"
"spotify:local:::Anonym+-+Love+you+like+i+can:448","Anonym - Love you like i can","","","0","0","448000","spotify:user:flngr","2015-04-17T21:01:34Z"
"spotify:track:29tmf5JSjnea9392YaNiEv","Saturday","Fafa Monteco","Danse avec les loops","1","3","401451","spotify:user:flngr","2015-11-10T13:46:18Z"
"spotify:track:49Mf5B5DIJlFa1QFYdYxk9","Cosmos 1999","Disco Kidz","Old School House","1","11","390381","spotify:user:flngr","2015-11-10T13:51:26Z"
"spotify:track:1DWHOyfDq3zb3mJb12LIn5","Discocity","Fafa Monteco","Funky But Cheak","1","1","344236","spotify:user:flngr","2015-11-10T13:48:27Z"
"spotify:track:70tHgpRwWO7HGiQh5h5FGM","Little Beat","DJ Nekbath","Old School House","1","13","338546","spotify:user:flngr","2015-11-10T13:52:12Z"
"spotify:track:7HH45FsZHLSZHU2la6og8w","Party People","Mike 303","Old School House","1","18","307910","spotify:user:flngr","2015-11-10T13:53:34Z"
"spotify:track:0vj1MdtlOHyrlHlUEOym6i","Hum... When the Music","Lake Soul","Tuner","1","5","282409","spotify:user:flngr","2015-11-22T16:47:59Z"
"spotify:local:Joss+Moog::Sunshine+People+-++Joss+Moog+Edit:384","Sunshine People -  Joss Moog Edit","Joss Moog","","0","0","384000","spotify:user:flngr","2015-11-26T08:21:04Z"
"spotify:track:78H72MElkOY9cRnaudxZFY","Fresh","Daft Punk","Homework","1","6","244400","spotify:user:flngr","2015-12-27T22:58:47Z"
"spotify:track:4qS1B4ApROisa12hrHkWzq","Beausejour","JNL","Beausejour","1","1","243214","spotify:user:flngr","2016-01-14T22:00:41Z"
"spotify:local:postworthymusic::Daft+Punk+-+Something+About+Us+%28Cherokee+Remix%29:340","Daft Punk - Something About Us (Cherokee Remix)","postworthymusic","","0","0","340000","spotify:user:flngr","2015-12-27T23:12:43Z"
"spotify:track:3gtNKaGcVgOyIpFJ0qQzxP","Edge","Cherokee","Teenage Fantasy - EP","1","5","270000","spotify:user:flngr","2015-12-27T23:34:55Z"
"spotify:track:48qBaHf0tgOMLLTpDFtdTO","Ice Cream for Dogs","JNL","Vol. 1","1","2","294677","spotify:user:flngr","2016-01-17T21:55:56Z"
"spotify:track:1SoBehfQMenbfWOqgEZZCG","Must Be Love","Les Loups","Club Coeur","1","6","240213","spotify:user:flngr","2016-01-24T12:03:39Z"
"spotify:track:1ITMcDNHuvVYsy3lHbXIhW","When I'm With You - Original Mix","Mix Chopin","Love Story","1","3","308095","spotify:user:flngr","2016-01-24T12:14:35Z"
