﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3TrCzfTFeJeTDJYC9HSf8O","Prisoner’s Song","Nova Nova, Various Artists","Ku De Ta Vol. 1. Best of (By Jim Breese & Btk)","1","1","356710","spotify:user:flngr","2015-09-07T20:16:06Z"
"spotify:track:6jbgySyREi0vZIldoca1n5","Apples And Pears","Canyons","The Lovemore Ep","1","1","295346","spotify:user:flngr","2015-10-08T20:52:18Z"
"spotify:local:ColourfulMoods::Jazzanova+feat.+Vikter+Duplaix+-+That+Night+%28Wahoo+Mix%29:443","Jazzanova feat. Vikter Duplaix - That Night (Wahoo Mix)","ColourfulMoods","","0","0","443000","spotify:user:flngr","2015-09-07T20:14:14Z"
"spotify:track:6fGcPe62WgxxkNWjOXCTQv","Kill Frenzy","Fouk","Kill Frenzy EP","1","1","361958","spotify:user:flngr","2015-11-02T22:25:04Z"
"spotify:track:1kWUWRirwRMIplVsHlz0gl","Toi & Moi","Joss Moog","Toi & Moi EP","1","1","377435","spotify:user:flngr","2015-09-07T20:30:59Z"
"spotify:track:7e0X6kjAc9ZCqxkmnqaSNV","Magic","Purple Disco Machine","Shir Khan Presents Black Jukebox 11","1","1","454541","spotify:user:flngr","2015-09-07T20:31:07Z"
"spotify:track:26gE4kLBM9hHGdov5nBfFa","A Blues Tale","Alex Agore","Memories","1","6","300920","spotify:user:flngr","2015-11-26T08:33:36Z"
"spotify:local:::Around7+-+Le+Bel+Age+%28Original+Mix%29:368","Around7 - Le Bel Age (Original Mix)","","","0","0","368000","spotify:user:flngr","2015-09-07T20:15:52Z"
"spotify:track:1Pf8tBN9CNj56gEIKGoyY2","Aquarelle","Frits Wentink","Live Fast, Dwayne Young","1","5","480544","spotify:user:flngr","2015-10-21T14:48:00Z"
"spotify:track:1RZodutpHyDdb59k4yuLpu","Anu Davai","Alland Byallo","Flumo 045: Unreleased Highlights 004","1","2","375500","spotify:user:flngr","2015-09-07T20:15:59Z"
