﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:local:Miguel+Puente:Mismo+Tiempo+%28Remixes%29:Mismo+Tiempo+%28Funk+Shuei+%26+Mane+Remix%29:468","Mismo Tiempo (Funk Shuei & Mane Remix)","Miguel Puente","Mismo Tiempo (Remixes)","0","0","468000","","2012-07-14T07:54:20Z"
"spotify:local:Homework:I+Got+One+%2F+Fissa+Tune+Remixes:I+Got+One+%28You%27re+It%29+%28Mercury+Remix%29:442","I Got One (You're It) (Mercury Remix)","Homework","I Got One / Fissa Tune Remixes","0","0","442000","","2012-07-14T07:54:23Z"
"spotify:track:6LNqa3ZvOxoo9QeWL4W1tb","T'es Con, T'es Content - Original Mix","Akufen","Battlestar Galacticlown","1","4","326017","","2012-09-19T14:44:29Z"
"spotify:track:4hlrxioOoBIftCxpcJ0whL","Who's In The House - Luna City Express Remix","Sasse, James Flavour","Cafe Mambo Ibiza 2010 (Mixed By Alex Wolfenden)","1","18","400876","spotify:user:flngr","2013-01-31T14:38:57Z"
"spotify:track:5z1up9T003AzpIvixl4pK7","Insomnia","Dataworx","Insomnia","1","1","329523","spotify:user:flngr","2013-02-01T14:30:21Z"
"spotify:track:3aEZg1V3OOspXHYaarONg5","Soul Kitchen - Orginal Version","David August","Sweden Roof","1","2","494127","spotify:user:flngr","2013-04-30T13:05:12Z"
"spotify:track:4ozR54PAiTC4it0MPVGTnt","Trumpets Victory - Original Version","David August","Trumpets Victory","1","1","458844","spotify:user:flngr","2013-04-30T13:08:52Z"
"spotify:track:0ZUvcl9h5BY8fHvM9sTCYN","Coming Back - Original","Ian F.","Auto.Matic.Music - Electronic Flashback, Vol. 3","1","18","435483","spotify:user:flngr","2013-06-04T22:25:03Z"
"spotify:track:1ZoOUQtmAEETbG3OpCZ3p7","My Definition - Johannes Heil's Spring Definition","Oliver Klein","Auto.Matic.Music - Electronic Flashback, Vol. 3","1","21","428571","spotify:user:flngr","2013-06-05T12:21:48Z"
"spotify:track:4LPqXuVKSsZ8V3M3oLdAeS","Whaler","Anton Pieete","Organic Tech House Vol.5","1","16","439724","spotify:user:flngr","2013-06-15T21:58:20Z"
"spotify:track:6AD5F8aDZTx9Bkbktja5Cf","Deeplines - Original","MiniCoolBoyz","Organic Tech House Vol.5","1","15","489636","spotify:user:flngr","2013-06-15T21:58:25Z"
"spotify:track:4vIwZwjwOhU2o2h9yKLTqV","23 Children - Philip Bader Remix","Brian Benson, Michael Gull","Organic Tech House Vol.5","1","12","461562","spotify:user:flngr","2013-06-15T21:58:27Z"
"spotify:track:0zbVVy1ZPDAI4dbtxEzcgX","Meltdown - Mihai Popoviciu Remix","Heartik","Organic Tech House Vol.5","1","9","461906","spotify:user:flngr","2013-06-15T21:58:29Z"
"spotify:track:3zS7Aey2tfM9CJxdFVuguu","Non Verbal Lessons","Jay Lumen","Organic Tech House Vol.5","1","6","456000","spotify:user:flngr","2013-06-15T21:58:31Z"
"spotify:track:5kpOye3gjnvcEykOIooptV","Ever Never - Original","Tube, BERGER, Ante Perry","Organic Tech House Vol.5","1","1","472320","spotify:user:flngr","2013-06-15T21:58:35Z"
"spotify:track:0lPNCwPIiglOwtpdiV0lcG","Pianoroll - Ramon Tapia Remix","Martin Eyerer & Benno Blome","Berlin Underground Selection (Finest Electronic Music)","1","22","560270","spotify:user:flngr","2013-10-06T21:34:40Z"
"spotify:track:60II2e2ew3hINyQG2sdble","Cottbus","Manuel Tur & Langenberg","Berlin Underground Selection (Finest Electronic Music)","1","5","525706","spotify:user:flngr","2013-10-06T21:34:51Z"
"spotify:track:6ihW39FD7RvX6PxXceSpNF","Oktavlachs","Super Flu","Berlin Underground Selection 2","1","6","417973","spotify:user:flngr","2013-10-07T21:03:31Z"
"spotify:track:0br1wrcBVANGATVvWdfBUk","Gran Rio","Qmusse","A Forty Track Sampler Part 1","1","17","419224","spotify:user:flngr","2014-01-28T17:31:50Z"
"spotify:track:5UX5gwNnZvKdyj11yr502M","Shoco Wild - Original Mix","Cubic State","Shoco Wild EP","1","1","403204","spotify:user:flngr","2014-05-28T17:21:58Z"
"spotify:track:02hZsIoEDtm7ILRmrKhkq7","Heat","TWR72","Sound Pellegrino Presents SND.PE, Vol. 1","1","9","352845","spotify:user:flngr","2014-10-12T20:09:27Z"
"spotify:track:10Jq6Guvcr5rxoqF2BCJ5L","All She Wants Is - Original Mix","Karotte, Gregor Tresher","Organic Techhouse Vol.3","1","29","418826","spotify:user:flngr","2014-10-22T13:21:22Z"
"spotify:track:3ua5Q5FSlq4PPms09Kt6o5","Escape To Amsterdam","Gregor Tresher","Organic Techhouse Vol.2","1","15","337699","spotify:user:flngr","2014-10-22T13:55:08Z"
"spotify:track:4ixW6LQNs4n3OXQeeUpQVK","All That Jazz - Lützenkirchen's Lo Mix","Lützenkirchen","Organic Techhouse Vol.2","1","25","363075","spotify:user:flngr","2014-10-22T14:19:12Z"
"spotify:track:0zbVVy1ZPDAI4dbtxEzcgX","Meltdown - Mihai Popoviciu Remix","Heartik","Organic Tech House Vol.5","1","9","461906","spotify:user:flngr","2014-10-22T14:49:48Z"
"spotify:track:6zpfP9IyODNeKlIDrHNSx8","Sandburg - Alec Troniq Remix","Tinush","Sandburg","1","3","418000","spotify:user:flngr","2014-10-25T12:18:57Z"
"spotify:track:4yXK1nZhDfTV0FrUWerdMA","Autumn","TWR72","1991","1","2","362920","spotify:user:flngr","2014-10-29T13:17:49Z"
"spotify:track:5zt3vGYK1f6GW3GPnHCFEJ","Blow","Dirt Crew","Colours of Deep House, Vol. 03","1","8","390418","spotify:user:flngr","2015-04-13T12:44:43Z"
"spotify:track:1wfGFNtZDkdnah54kD8cJ8","Can I Mither You?","Chocky","DSCNTD002","1","4","309417","spotify:user:flngr","2015-06-07T09:37:49Z"
"spotify:track:5zX52lNfa9ybYZEn4QI8GD","Seek Deep","Chocky","Flumo 045: Unreleased Highlights 004","1","3","353125","spotify:user:flngr","2015-06-15T15:31:41Z"
"spotify:track:76hv7pvg4pqQ1dQSZMRRuU","Simple","Nicson, Dixie Yure","Flumo 045: Unreleased Highlights 004","1","1","382125","spotify:user:flngr","2015-06-15T15:32:04Z"
"spotify:track:0HmrVB0mlxz0qccZYtXaGE","Monkey Man","N'to","Monkey Man","1","1","391542","spotify:user:flngr","2015-07-12T20:43:07Z"
"spotify:track:4OAxultl1X5qWATjgY7IP0","Spoof - Original Mix","Lauhaus","Relocation EP","1","7","384784","spotify:user:flngr","2015-07-13T14:11:01Z"
"spotify:track:2ZJecOX35rYNqricW50Bog","Computer Killer","Glenn Astro","Throwback","1","2","294453","spotify:user:flngr","2015-07-28T07:55:16Z"
