﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0P4UAwHJIhfsWSnX2Q7OPf","Maré Mansa","As Ganhadeiras de Itapuã","As Ganhadeiras de Itapuã","1","9","392946","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:4bPvG3ENq5bn2E3DrJyvTV","Ferus Gallery","Allah-Las","Worship the Sun","1","4","215973","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:local:Sylvain+Fouillaud::General+electrics+-+tu+m%27intrigues:174","General electrics - tu m'intrigues","Sylvain Fouillaud","","0","0","174000","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:465aYF7aG0l9e1n1dMTtDM","Night over Manaus","Boozoo Bajou","Hôtel Costes Best of…by Stéphane Pompougnac","1","11","348693","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:7DxNdxKP6h7qUCI2nNL3Ti","La Fugitive","Williams Traffic feat. The Fugitive, Williams Traffic, The Fugitive","And The Fugitive","1","1","191626","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:local:StGermainOfficial::St+Germain+-+Real+Blues:235","St Germain - Real Blues","StGermainOfficial","","0","0","235000","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:3TeTDzFzxROwBX54BLTI4n","Velocity of Love (Hot Toddy Mix)","D-Pulse","Ritz Bar Paris - Session One","1","3","425666","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:4odgfflYfJpY9cidgj0iig","PNC aux Portes","Stéphane Pompougnac","Living On The Edge","1","7","296853","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:3xxmEGNXAAhCg6QDsrbJ0N","Happiness Juice (Satin Jackets Remix)","Munk, Satin Jackets","Happiness Juice","1","6","263236","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:6og5fLPMYYwHtmeMpMUzYX","Waiting for You - Fingerpaint Remix","Kris Menace, Black Hills","Waiting for You","1","4","337156","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:4STvEvTVce8fkfHcLADFkD","Kokobay","QY","Family Horror Pt. 2","1","4","394104","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:3S6LpIBPwDuWuXgvPN4QIS","M'as tu vu","Around7","Ménage à 3","1","4","374544","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:local:ColourfulMoods::Jazzanova+feat.+Vikter+Duplaix+-+That+Night+%28Wahoo+Mix%29:443","Jazzanova feat. Vikter Duplaix - That Night (Wahoo Mix)","ColourfulMoods","","0","0","443000","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:6RbgIqRnzanF0ZzTCj9snM","Your Light","Fort Romeau","Stay / True EP","1","2","297169","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:5Y9baD3osATetJH4uZ575X","Bleu","Worakls","Alpine Grooves, Vol. 5 (Kristallhütte)","1","7","466224","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:1kWUWRirwRMIplVsHlz0gl","Toi & Moi","Joss Moog","Toi & Moi EP","1","1","377435","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:3TrCzfTFeJeTDJYC9HSf8O","Prisoner’s Song","Nova Nova, Various Artists","Ku De Ta Vol. 1. Best of (By Jim Breese & Btk)","1","1","356710","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:5ZAY0TWgWfH0UTPvMhJQVD","London in the rain","Variety Lab","Hôtel Costes Best of…by Stéphane Pompougnac","1","2","205666","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:7cMFjxhbXBpOlais7KMF3j","Voyager","Daft Punk","Discovery","1","10","227866","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:track:7ughBTYBYZd6ZkxUjjFkZQ","Loot","Mafikizolo","Gate Crashers","1","1","320546","spotify:user:flngr","2015-07-18T16:15:03Z"
"spotify:local:::Earth%2C+Wind+%26+Fire+-+Brazilian+Rhyme+%28Danny+Krivit+Re-Edit%29+%28Slayd5000%29:191","Earth, Wind & Fire - Brazilian Rhyme (Danny Krivit Re-Edit) (Slayd5000)","","","0","0","191000","spotify:user:flngr","2015-07-18T16:15:03Z"
