﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1aTTuHeOdcit8b8Gpsi9Nb","All I Need (Original) - Original","Nicholas","Still Playing House","1","7","395911","spotify:user:flngr","2013-03-29T17:37:48Z"
"spotify:track:2xwcERz21AgMZZ8c0t3f8J","Island Three","Guardner","Paris Can´t Wait","1","8","242200","spotify:user:flngr","2013-09-15T21:49:01Z"
"spotify:track:2r9BFo0F8LRWKyn907y9EH","Get Better","Aki Bergen, Lazarusman","Aki Bergen Collection, Vol. 1","1","6","518000","spotify:user:flngr","2013-12-08T18:45:14Z"
"spotify:track:0x6NvA4VyzAyKBvU3GeiPf","The Long Run - Steve Bug Vocal Mix","Steve Bug, Mr. V","Blue Marlin Ibiza 2013","1","1","481292","spotify:user:flngr","2013-09-14T08:40:07Z"
"spotify:track:2f8HLdFxm8gaKOTWWb3GG7","Are You Talking to Me ???","Rivera Rotation","Horsley Park","1","6","278453","spotify:user:flngr","2015-09-18T20:07:31Z"
"spotify:track:0VbLYBBy6mwztJ8H6pX4o3","Elif","Marc Romboy","Contrast","1","11","575853","spotify:user:flngr","2013-07-21T21:51:58Z"
"spotify:track:2S7BVYSaF8dK73A9gKTqiE","Helldorado","Aki Bergen","Helldorado","1","1","413658","spotify:user:flngr","2013-07-21T22:29:36Z"
"spotify:track:5ggY5qyyVSgWV6csdtddxF","In the Still of the Night","Oscar Peterson Trio","The complete Cole Porter Songbooks","1","1","173412","spotify:user:flngr","2013-09-20T21:22:19Z"
"spotify:track:68CijrRy3d7gNhjQ9ovaMe","Seventh Heaven","Maurice Massiah","Classics Funky Music, Vol. 2","1","7","260053","spotify:user:flngr","2015-03-12T13:47:50Z"
"spotify:track:2WWFDrF4hkQEyfScZRrpkH","Petit Pays - Chateau Flight Remix","Cesaria Evora","Club Sodade","1","1","261826","spotify:user:flngr","2013-06-26T20:52:49Z"
"spotify:track:2n845ZaLOgpNJ3RinFwE1W","My Baby Just Cares For Me","Nina Simone","The Essential Nina Simone","1","1","217626","spotify:user:flngr","2013-06-20T15:32:53Z"
"spotify:track:4l87gEzIiFLVrmh7GsiBSO","General Motors, Detroit, America - Blackstrobe Remix","Acid Washed","General Motors, Detroit, America / Snake","1","2","426826","spotify:user:flngr","2013-01-31T12:51:22Z"
"spotify:track:6NgKHpQI1nQIYv1JShfG6i","What It Feels Like - Original Mix","Volta Cab","House Of Dikso","1","12","212245","spotify:user:flngr","2013-03-28T23:27:03Z"
"spotify:track:5wItF8GfL6t9vdgGosoVd9","What You Do To Me","Blakroc, Billy Danze, Jim Jones, Nicole Wray","Blakroc","1","9","307600","spotify:user:flngr","2013-06-24T21:35:02Z"
"spotify:track:6Lamu5YqNiyjfpVRQ5tcNz","Bonita Applebum - includes 'Can I Kick It' Intro","A Tribe Called Quest","Peoples' Instinctive Travels & the Paths of Rhythm","1","7","229640","spotify:user:flngr","2013-06-24T21:35:09Z"
"spotify:track:1OrZ1qJ7ANMSdltqLn6jXc","Writer's Block","Just Jack","Overtones","1","1","222560","spotify:user:flngr","2013-06-26T20:58:35Z"
"spotify:track:6sbWcZtFixNcL9sWvwkBnj","For All We Know","The Dave Brubeck Quartet","Restoration Lab (Best Masterpieces)","1","7","352000","spotify:user:flngr","2013-11-02T21:29:22Z"
"spotify:track:4JiVncEJgGVpozzEyUxG7D","I Remember You","The Dave Brubeck Quartet","Restoration Lab (Best Masterpieces)","1","18","541000","spotify:user:flngr","2013-11-03T09:07:06Z"
"spotify:track:5uQqZ4zUqRx6w2QzGJXpox","Thank You - Dziekuje","The Dave Brubeck Quartet","Restoration Lab (Best Masterpieces)","1","19","214000","spotify:user:flngr","2013-11-03T09:10:23Z"
"spotify:track:6yubbhScYeXtPGH4KHoRO7","All the Things You Are","The Dave Brubeck Quartet","Restoration Lab (Best Masterpieces)","1","25","545000","spotify:user:flngr","2013-11-07T16:06:04Z"
"spotify:track:6RN8c2MwrvTCgK586hrAbW","Body and Soul","Dave Brubeck Trio","Restoration Lab (Best Masterpieces)","1","28","226000","spotify:user:flngr","2013-11-09T11:27:24Z"
"spotify:track:5Kx0IkyvUFCOIoUotvm0zO","Eye In The Sky","Gilad Hekselman","This Just In","1","10","302526","spotify:user:flngr","2013-12-15T22:52:12Z"
"spotify:track:4K1VZO39uy1VQfxJAndPoR","Damage Done","Moderat","II","1","10","326280","spotify:user:flngr","2014-01-13T14:35:12Z"
"spotify:track:0fcRuXfzEvZ2eIiKv4ew4j","At Birth","James Blake","Love What Happened Here","1","2","274706","spotify:user:flngr","2014-01-19T17:28:24Z"
"spotify:track:3HvCwE2cSjM5RlGYEV98y9","Eddie - Oliver Nelson Remix","Everywhere","Eddie","1","2","247200","spotify:user:flngr","2014-01-24T10:12:23Z"
"spotify:track:5bKHnRefxrgmlTvuwfslQ2","Cleaning Up - Original Mix","Good Guy Mikesh & Filburt","My New Disco","1","3","398106","spotify:user:flngr","2014-01-24T15:21:48Z"
"spotify:track:64b00590trgiAQh18OoZe9","What About Us","Flume, Chet Faker","Lockjaw","1","2","307565","spotify:user:flngr","2014-01-24T18:01:19Z"
"spotify:track:2E3usl6lOZEcs2v1op8c2d","Dig","Art Farmer","By Myself","1","6","865906","spotify:user:flngr","2014-01-28T23:07:48Z"
"spotify:track:0u4rVVsfFauO1NHAOXcdog","Schwerelos","Thomas Fehlmann","Gute Luft","1","4","378920","spotify:user:flngr","2014-04-07T19:58:10Z"
"spotify:track:0gaebp2y20i3RZ5DdGV6LE","Heaven Sent","Get Down Edits","Get Down Edits, Vol. 4","1","3","412386","spotify:user:flngr","2014-04-15T13:33:15Z"
"spotify:track:0W4JlQMWJaTcEWbqXeYUfT","Karen Loves Kates","Lone","Ecstasy & Friends","1","9","339466","spotify:user:flngr","2014-06-27T14:39:52Z"
"spotify:track:5X960hii4e9V9D0TPK8HrP","The Third","Art Farmer","By Myself","1","3","459053","spotify:user:flngr","2014-08-13T16:06:04Z"
"spotify:track:2E3usl6lOZEcs2v1op8c2d","Dig","Art Farmer","By Myself","1","6","865906","spotify:user:flngr","2014-08-13T16:34:43Z"
"spotify:track:47I3uzgOdZG923RjKbSFG0","Phraternal","Phronesis","Life to Everything","1","2","393306","spotify:user:flngr","2014-09-11T15:34:08Z"
"spotify:track:0Q61ULIYGTyImaA84n8X4m","Eight Hours","Phronesis","Alive","1","3","334186","spotify:user:flngr","2014-09-11T16:02:03Z"
"spotify:track:5wWsPTSLg9gLuD39EjCxB4","Les mots d'amour","Mayra Andrade","Lovely Difficult","1","9","227026","spotify:user:flngr","2014-10-04T17:24:50Z"
"spotify:track:266YZR0Zts6mDiwvL2NYqu","Storia, Storia","Mayra Andrade","Studio 105","1","5","267840","spotify:user:flngr","2014-10-04T18:09:13Z"
"spotify:track:3Tn2Y8j1QlMiZOnKzy0q8Y","Rick","Matthias Zimmermann, SCNTST","Sound Pellegrino Presents SND.PE, Vol. 1","1","2","376965","spotify:user:flngr","2014-10-12T19:36:30Z"
"spotify:track:4jtRnkWN1RE9oGTLm5DcKO","Bearded Lady Motorcycle Show","Bot'Ox","French Attack! Vol. 4","1","2","271853","spotify:user:flngr","2014-10-14T12:24:18Z"
"spotify:track:2K3mCYk2j5SWStBPp2wSST","Invisible Colors - Deft Remix","123Mrk","Noname EP Remixed","1","2","327388","spotify:user:flngr","2014-10-28T13:37:16Z"
"spotify:track:4dLXoBxC0NylPL2NbUS7ZD","Pleasure - M.Constant Remix","123Mrk","Noname EP Remixed","1","12","317549","spotify:user:flngr","2014-10-28T17:06:20Z"
"spotify:track:518tFlRfKUg0I21Itijkyg","Fall Off the Wall-1 - Diz Remix","James Curd","Fall Off the Wall","1","2","438453","spotify:user:flngr","2014-11-07T15:01:32Z"
"spotify:track:4f16rnFuIJlSmPQMetIWsi","The Long Run - Steve Bug's Vocal Mix","Steve Bug, Mr. V","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","6","481292","spotify:user:flngr","2014-11-09T20:24:31Z"
"spotify:track:6r6oHZgKqgee2HoQ495jfi","Disco Rebeat","Gorge","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","14","445653","spotify:user:flngr","2014-11-09T21:26:25Z"
"spotify:track:2ZzXZqyTphhLdih9KkecrK","Scribbled paper","Little Dragon","Best Of","1","11","364720","spotify:user:flngr","2014-11-10T23:50:42Z"
"spotify:track:4iioPwD1KYKTcuKOLmlv8C","Fortune","Little Dragon","Best Of","1","6","194133","spotify:user:flngr","2014-11-11T11:46:50Z"
"spotify:track:2rBpkgHIDdADDPuO9WTbXe","My Step","Little Dragon","Best Of","1","8","207453","spotify:user:flngr","2014-11-11T11:54:32Z"
"spotify:local:::seconds_SydtheKyd_remix:194","seconds_SydtheKyd_remix","","","0","0","194000","spotify:user:flngr","2014-11-11T12:11:41Z"
"spotify:track:5ZE1ZBYPMlteecjgS6DwKI","Dust - Original Mix","Joris Voorn, Bram Stadhouders","Nobody Knows","1","12","374680","spotify:user:flngr","2014-11-29T13:57:39Z"
"spotify:track:2kAwRhYlFuUTqhdeeWdzyO","You","Seinabo Sey","For Madeleine","1","4","221448","spotify:user:flngr","2014-12-03T17:40:11Z"
"spotify:track:7hrDA2n8BVGLyHra0rBiFd","Younger - Kygo Remix","Seinabo Sey","Younger (The Remixes)","1","1","351573","spotify:user:flngr","2014-12-03T17:43:00Z"
"spotify:track:02sl42KdV4vCW2gM9CyCTa","Bhatiyar","Shruti Sadolikar","The Raga Guide","1","11","250666","spotify:user:flngr","2014-12-18T16:02:37Z"
"spotify:track:6L3Ivf63D0m7tviuAj8vxG","Bhairavi","Hariprasad Chaurasia","The Raga Guide","1","10","232333","spotify:user:flngr","2014-12-18T16:02:41Z"
"spotify:track:4K1gaUG8NTnIqWrsLfXf1B","La lune rousse","Fakear, Deva Premal","Sauvage","1","1","225256","spotify:user:flngr","2014-12-19T17:22:48Z"
"spotify:track:6JKCf888TABRW23TLoZrZi","Knight Moves","Chilly Gonzales, Various Artists","Ku De Ta Vol. 1. Best of (By Jim Breese & Btk)","1","15","310752","spotify:user:flngr","2014-12-19T13:20:37Z"
"spotify:track:5UoMpvksW0R3pOwPV8QEh0","Flying","Jazz Spastiks","The Product","1","9","201990","spotify:user:flngr","2015-01-02T20:06:36Z"
"spotify:track:6stzGXs69f3Fi3DSZT3iBx","Frequency","Jazz Spastiks, Moka Only","The Product","1","12","174962","spotify:user:flngr","2015-01-02T20:12:45Z"
"spotify:local:::Nujabes+-+Reflection+Eternal:257","Nujabes - Reflection Eternal","","","0","0","257000","spotify:user:flngr","2015-01-12T21:51:42Z"
"spotify:track:6r6oHZgKqgee2HoQ495jfi","Disco Rebeat","Gorge","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","14","445653","spotify:user:flngr","2015-01-13T14:30:12Z"
"spotify:track:77GnDyzAwqq6Hk32oiemlU","Deliberate","Carlos Sanchez","Systematic Deep House, Vol. 4 (Mixed by Gorge)","1","17","370437","spotify:user:flngr","2015-01-13T14:30:12Z"
"spotify:track:7uh7VeerPX020P5AUnUYeV","Church","Jabru, Joel Culpepper","Will Saul presents: DJ-Kicks EP","1","2","333796","spotify:user:flngr","2015-01-16T14:42:22Z"
"spotify:track:6DRiep4JMaNDRTQCDF6bYd","I Get Mine, You Get Yours","Leon Vynehall","Open EP","1","1","386297","spotify:user:flngr","2015-01-16T14:52:15Z"
"spotify:track:4YswREJlhibiSG5fzFzAoA","Don't Know Why","Leon Vynehall","Gold Language","1","2","309630","spotify:user:flngr","2015-01-16T14:52:15Z"
"spotify:track:637rB6LifybIgGb3uLViBA","Exo","Mr.Troy","Exo","1","5","237491","spotify:user:flngr","2015-01-16T14:52:22Z"
"spotify:local:Kartell::B.B+%26+Q.+Band+-+Dreamer+%28Kartell+Rework%29+-+Free+DL:229","B.B & Q. Band - Dreamer (Kartell Rework) - Free DL","Kartell","","0","0","229000","spotify:user:flngr","2015-01-16T14:52:27Z"
"spotify:local:Kartell::Bernard+Wright+-+Just+Chillin%27+Out+%28Kartell+Edit%29:250","Bernard Wright - Just Chillin' Out (Kartell Edit)","Kartell","","0","0","250000","spotify:user:flngr","2015-01-16T14:52:27Z"
"spotify:track:5XiLyRyqmp2CcBZJoVPPnh","Move","Jazz Spastiks, Apani B Fly","The Product","1","6","197508","spotify:user:flngr","2015-01-16T14:53:04Z"
"spotify:track:56ejFYfCdSfbIEH5yEOOjZ","Cold Clam","letherette","Letherette","1","7","349266","spotify:user:flngr","2015-01-16T14:59:23Z"
"spotify:track:3xnXRWDEDtWHUBT66vx4lF","The People","Common","Finding Forever (Explicit Version)","1","3","204546","spotify:user:flngr","2015-01-16T14:59:23Z"
"spotify:track:18mYtKrSob98MepqYPILIG","The Day We Met For Coffee - Afefe Iku Remix","Osunlade","The Day We Met For Coffee","1","1","576133","spotify:user:flngr","2015-01-23T16:30:53Z"
"spotify:track:6kmZFC6ZQTP1A4oSLjPBm2","My Reflection (Deetron Remix) - Remix","Osunlade, Divine Essence","Passage","1","6","471320","spotify:user:flngr","2015-01-23T16:43:26Z"
