﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:66bq86eX5d1cnuCuD4UPQy","Like Sonny - Alternate Take 5","John Coltrane","Coltrane Jazz","1","11","495733","","2012-10-27T14:47:00Z"
"spotify:track:6oVY50pmdXqLNVeK8bzomn","My Favorite Things","John Coltrane","The Very Best Of John Coltrane","1","6","826000","","2012-10-27T14:49:02Z"
"spotify:track:55iRqCDzLUhVfEkEaPAPtL","Blue Train - Enhanced CD Version;1997 Digital Remaster","John Coltrane","The Ultimate Blue Train","1","1","641840","","2012-10-27T15:01:08Z"
"spotify:track:7nlLZ1kqddA37y392UW1gM","Training in","John Coltrane","The Best of the Best - 57 Takes","1","1","750993","","2012-10-27T15:27:59Z"
"spotify:track:4nr3z581U5NaLwSlPxkRMO","Slow Dance","John Coltrane","The Best of the Best - 57 Takes","1","2","324770","","2012-10-27T15:33:53Z"
"spotify:track:429PpfPq1et09z71Za1hTJ","Soft Lights and Sweet Music","John Coltrane","The Best of the Best - 57 Takes","1","5","278860","","2012-10-27T20:49:35Z"
"spotify:track:695tMsJlQmdT90meFbi53g","Mating Call","John Coltrane","The Best of the Best - 57 Takes","1","6","332522","","2012-10-27T20:55:55Z"
"spotify:track:6LyITUAmXfuoQ2c5iqBCYy","What Is This Thing Called Love?","Sérgio Mendes","Love for Sale","1","2","156200","","2012-10-28T21:14:13Z"
"spotify:track:0UV31ahaLjxYTD2yHMfYKZ","Nica's Dream","Sérgio Mendes","Love for Sale","1","9","171000","","2012-10-28T21:31:42Z"
"spotify:track:5h0pjH9zMgiqLmT73SvkN1","On Green Dolphin Street","Sérgio Mendes","Love for Sale","1","8","173506","","2012-10-28T21:28:58Z"
"spotify:track:2pxOzM1ZmBxlkqYqFEyxiv","Disa","Sérgio Mendes","Love for Sale","1","11","164666","","2012-10-28T21:36:17Z"
"spotify:track:7deRjcnzRZnSw6Ay7we2Nf","Herbie's Blues","Herbie Hancock","Legend Jazz","1","6","352746","","2012-11-15T21:34:10Z"
"spotify:track:7mQjQ2gtaA9nzYwqY3saWI","Hot and Heavy","Herbie Hancock","Legend Jazz","1","8","442665","","2012-11-15T21:43:21Z"
"spotify:track:3oJZRe550LJM38e3AkTbQZ","Night Walker","Herbie Hancock","Legend Jazz","1","11","402901","","2012-11-15T22:03:13Z"
"spotify:track:3fwyhpjVaU5y4Jtx5jgB0C","Driftin'","Herbie Hancock","Triple Best Of","1","3","414066","","2012-11-15T22:22:18Z"
"spotify:track:6eqTYKuh3HW9lYd1sVY4mL","A Tribute To Someone - 1999 Digital Remaster;The Rudy Van Gelder Edition","Herbie Hancock","Triple Best Of","1","7","523986","","2012-11-15T22:49:42Z"
"spotify:track:0J5pEOkFX9eIpWV9oWiC4N","One Finger Snap","Herbie Hancock","Triple Best Of","1","9","438293","","2012-11-15T23:05:18Z"
"spotify:track:3dseQpkhgXM6ieaWc7WVnX","Oliloqui Valley","Herbie Hancock","Triple Best Of","2","1","507120","","2012-11-15T23:13:46Z"
"spotify:track:3b0wyjGCe6pcI32yjkOj4D","The Egg","Herbie Hancock","Triple Best Of","2","2","838746","","2012-11-15T23:24:40Z"
"spotify:track:2RYQ6GVwDM9QtNOy4fgvAG","Tonight","Kleeer","Intimate Connection","1","7","310666","","2012-11-12T16:05:49Z"
"spotify:track:33Cg3zlw26yIQgKjbynKcb","Smokey Taboo","CocoRosie","Grey Oceans","1","2","289560","","2012-11-10T21:09:18Z"
"spotify:local:Alex+Cortiz:Supperclub+2+-+La+Salle+Neige:My+Favourite+Moment:284","My Favourite Moment","Alex Cortiz","Supperclub 2 - La Salle Neige","0","0","284000","","2012-11-12T16:30:29Z"
"spotify:local:Desmond+Williams:Supperclub+2+-+La+Salle+Neige:Return+Of+The+Flipside:245","Return Of The Flipside","Desmond Williams","Supperclub 2 - La Salle Neige","0","0","245000","","2012-11-12T16:30:42Z"
"spotify:local:::Solee+-+Legends+%28Egostereo+Remix%29:507","Solee - Legends (Egostereo Remix)","","","0","0","507000","","2012-11-04T23:26:06Z"
"spotify:track:5ycU3EkVTyTD1HOGpfElVO","The Funk Phenomena - Original","Armand Van Helden","Best of Armand Van Helden","1","8","421240","","2012-11-12T15:52:11Z"
"spotify:local:Jazzanova+Feat.+Vikter+Duplaix:City+Lounge+2:That+Night+%28Wahoo+Mix%29:441","That Night (Wahoo Mix)","Jazzanova Feat. Vikter Duplaix","City Lounge 2","0","0","441000","","2012-11-12T16:40:34Z"
"spotify:track:3MkYbeGCyjPJFiBnoVf1p8","Do it Your Way","Mood II Swing","Radio Slave presents Strictly Rhythms Volume 5","1","7","566893","","2012-11-12T15:51:18Z"
"spotify:track:6dBvCKfJhxGVDF0zSLpuv2","Study Hypno","Arjuna Schiks","Study Hypno","1","1","491725","spotify:user:flngr","2013-01-31T14:58:07Z"
"spotify:track:52TQkEgrxBfMARqx942f3N","Hate Love - Kate Simko's Liquid Disco Remix","Guy Gerber, Dawn Richard","Heart Beats","1","10","411906","spotify:user:flngr","2013-01-31T16:21:44Z"
"spotify:track:7pJnM2aIuZQk9HVNnRnL86","The Sad Piano - Charles Webster Remix","Justin Martin","Buzzin' Fly - 5 Golden Years In The Wilderness - Unmixed and Selected By Ben Watt","1","4","433413","spotify:user:flngr","2013-01-31T16:22:13Z"
"spotify:track:0jEb3JIu5FtivtrtJrXFLN","Random Places","Compuphonic, Spirit Catcher","Ovale","1","1","343320","spotify:user:flngr","2013-02-14T10:08:16Z"
"spotify:track:1wedk3BoK5T58yflQkTVte","Analog Sparkles - 2009 Rework","Compuphonic","Analog Sparkles EP","1","1","417636","spotify:user:flngr","2013-02-14T10:13:35Z"
"spotify:track:3olD1eG5dG88DZ3m9vAP4W","Deep Fruit","Pawas","Music For Lazy People","1","1","421880","spotify:user:flngr","2013-02-14T10:45:01Z"
"spotify:track:5sMQiqu1LYQMFuJpIKCjSo","Roule","Monkey Safari","True Tech House","1","10","417000","spotify:user:flngr","2013-04-01T22:21:28Z"
"spotify:track:6I0rwSnaIDNvgCu3ynhWFi","Hüpft.","Felix Kröcher","Läuft.","1","3","458057","spotify:user:flngr","2013-04-02T17:26:01Z"
"spotify:track:4CxlWn47lPp6V3Vy1Y0loF","Sägt.","Felix Kröcher","Läuft.","1","6","400000","spotify:user:flngr","2013-04-03T19:37:51Z"
"spotify:track:1vriTUkTvN3ldDeoKooGMD","Distorted Disco","Felix Kröcher, Eric Sneo","Connected","1","3","367618","spotify:user:flngr","2013-04-03T20:59:04Z"
"spotify:track:7MlbvrsRqtlJcVEbAqyRI9","Peaktime","Felix Kröcher, Eric Sneo","Connected","1","4","425110","spotify:user:flngr","2013-04-03T21:06:45Z"
"spotify:track:4QEAGaTJn2xHW31C92Ojqx","Ordered Chaos","Felix Kröcher, Eric Sneo","Connected","1","13","379924","spotify:user:flngr","2013-04-03T22:10:25Z"
"spotify:track:2L4QEQhyrwZJBkbeFojj7C","Aya Ama","Rone","Spanish Breakfast","1","4","340600","spotify:user:flngr","2013-04-06T11:27:00Z"
"spotify:track:4OAUeGPgD3yAk9W4hvjyMj","Tasty City","Rone","Spanish Breakfast","1","8","305626","spotify:user:flngr","2013-04-07T19:10:24Z"
"spotify:track:705ytm6Hbm2ny3UfAKIBrU","Casus Belli - Brontosaurus Saga Mix","Plein Soleil","Future Disco, Vol. 2","1","11","609360","spotify:user:flngr","2013-04-08T15:19:07Z"
"spotify:track:3dgGj3q9xAg0AX3xVOv3bz","Keep Me In My Plane - DJ Koze Remix","WhoMadeWho","Future Disco, Vol. 2","1","16","423033","spotify:user:flngr","2013-04-09T15:55:15Z"
"spotify:track:6oZsgTGKGMLy8dLsOcJJVv","Sweden Roof - Orginal Version","David August","Sweden Roof","1","1","420631","spotify:user:flngr","2013-04-30T12:57:39Z"
"spotify:track:3aEZg1V3OOspXHYaarONg5","Soul Kitchen - Orginal Version","David August","Sweden Roof","1","2","494127","spotify:user:flngr","2013-04-30T13:05:19Z"
"spotify:track:1fJN1YJ7NJfrSDGprKtG0V","Rusty Nails","Moderat","Moderat (Deluxe Version)","1","2","272200","spotify:user:flngr","2013-04-30T13:45:18Z"
"spotify:track:23WQiIF0SRf1B1PJAAMswk","Callisto - Joris Voorn Remix","Stephan Bodzin, Marc Romboy","Systematic Colours Vol. 3","1","9","499306","spotify:user:flngr","2013-05-31T21:51:56Z"
